dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,frozen_origin,cosine_similarity,0.966386554622,0.348933649289,128,0,50,6400,128,0.00256700555021,389558.955149,1,0.000462107208872,590,0.272643253235
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,frozen_origin,cosine_similarity,0.970588235294,0.0159952606635,256,0,50,12800,256,0.00457791127385,218440.231839,0,0,27,0.0124768946396
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.00118483412322,512,0,50,25600,512,0.00413803142109,241660.803952,0,0,2,0.000924214417745
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00399422365204,250361.543848,0,0,1,0.000462107208872
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00454500924558,220021.554626,0,0,1,0.000462107208872
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.924369747899,0.00651658767773,128,0,50,6400,128,0.00256700555021,389558.955149,22,0.0101663585952,10,0.00462107208872
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.970588235294,0.00355450236967,256,0,50,12800,256,0.00457791127385,218440.231839,0,0,5,0.00231053604436
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,512,0,50,25600,512,0.00413803142109,241660.803952,0,0,1,0.000462107208872
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00399422365204,250361.543848,0,0,1,0.000462107208872
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00454500924558,220021.554626,0,0,1,0.000462107208872
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.970588235294,0.383886255924,128,0,50,6400,128,0.00466774491339,214236.214394,0,0,649,0.299907578558
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.970588235294,0.0148104265403,256,0,50,12800,256,0.00449528650787,222455.23133,0,0,25,0.0115526802218
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.00118483412322,512,0,50,25600,512,0.00449773568127,222334.096724,0,0,2,0.000924214417745
