analysis_scope,dataset_id,model_uid,compression_family,compression_profile,search_mode,protocol_uid,threshold_source_split,evaluation_split,target_fpir,threshold_policy,is_mated,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,run_id,source_run_dir
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_left,top1_score_drift,856,264,-0.0348049690226,0.95,-0.0982057361751,0.040061114874,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_left,agreement_with_origin,856,264,0.00182181913441,0.95,-0.0671594090698,0.0665136735169,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_left,threshold_crossing,856,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_right,top1_score_drift,856,264,0.000282732921907,0.95,-0.0633555955403,0.0600199750196,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_right,agreement_with_origin,856,264,-0.016307267263,0.95,-0.0794014524463,0.0596626563793,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_right,threshold_crossing,856,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_left,top1_score_drift,856,264,-0.0114110049965,0.95,-0.0773187466055,0.0584298404677,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_left,agreement_with_origin,856,264,0.0310303733942,0.95,-0.0428354243183,0.102597602661,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_left,threshold_crossing,856,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
retrieval,lfw,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_right,top1_score_drift,856,264,0.0357265495592,0.95,-0.0488686626735,0.0971495816597,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-c2e11ab2,C:\ronbun\runs\lfw_20260811\20260811-R001-c2e11ab2_step4_lfw_adaface-4df25b75e065b0b9ed43
