case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,target_fpir,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group,run_id,source_run_dir
gradcam-ee8f00d1a229dc36c46b,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.01fc08_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0066727399826,True,False,False,True,True,0.947082079973,True,high_error,1,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-df35498e0136cf26c5f1,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.04mx___0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,-0.0274274945259,True,False,False,True,True,0.925767944922,True,high_error,2,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-5915653f72a5d3fc291e,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.07h1f1_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,-0.0220170021057,True,False,False,True,True,0.917928097358,True,high_error,3,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-4fd4d12de9b64055bfd4,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.09xrfm_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.118192985654,True,False,False,True,True,0.917459403211,True,high_error,4,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-16b08bd23200d7e37242,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.01r5wc_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,-0.00746977329254,True,False,False,True,True,0.910595338253,True,high_error,5,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-96745e233ff45f612938,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.04gtd0j_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0011488199234,True,False,False,True,True,0.90188772972,True,high_error,6,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-4faa9468d7404c482238,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.06wx5c_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0200934112072,True,False,False,True,True,0.898458847926,True,high_error,7,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-49a81bae99551f60eb51,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.05c1bgv_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,-0.00563681125641,True,False,False,True,True,0.898115484707,True,high_error,8,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-0e26f97fe2425cfda8e7,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.02jh6x_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.108201906085,False,False,False,True,True,0.956686844279,True,rank_flip,1,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-61a1398fe445b6e25f56,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.01nwty_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.091598212719,False,False,False,True,True,0.94320862083,True,rank_flip,2,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-d3ccf036703c056459fa,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.015j6y_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.120460212231,False,False,False,True,True,0.933632033405,True,rank_flip,3,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-ff3546409ada8c848e55,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.016gr2_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.103642821312,False,False,False,True,True,0.918975550725,True,rank_flip,4,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-747dc5bc89d2fbbbfdb3,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.03h4yg2_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.148444414139,False,False,False,True,True,0.905636396007,True,rank_flip,5,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-cfd3e437600857b70483,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.061fnq_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0959597975016,False,False,False,True,True,0.903879504886,True,rank_flip,6,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-544574cd655b7e71a769,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.06htkn_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0605272948742,False,False,False,True,True,0.903467574424,True,rank_flip,7,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-b4aaa5173dccbf3d06ee,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.0cqh0q_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0807295441628,False,False,False,True,True,0.90116305481,True,rank_flip,8,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-63f229237a60e21781e0,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:african:m.096p08_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0673435032368,True,False,False,True,True,0.574748217917,True,stable,1,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-96dfcced41aee6f98b72,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:asian:m.02x32y9_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0649711489677,True,False,False,True,True,0.580825229101,True,stable,2,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-e0daadd89be47a5ab9fc,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:asian:m.02x32y9_0005,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0601331591606,True,False,False,True,True,0.582977515633,True,stable,3,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-acbd5ff3c9181302c790,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:indian:m.0461cy_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.104277536273,True,False,False,True,True,0.586714425476,True,stable,4,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-1987bc32f0f694efda31,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:african:m.02w45f8_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0512635111809,True,False,False,True,True,0.588235759862,True,stable,5,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-1ddc1fc964242ed394e2,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:asian:m.0276rj9_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0708236694336,True,False,False,True,True,0.598446896785,True,stable,6,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-e362fe21a334aee253b8,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:indian:m.09k3dk_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0344106554985,True,False,False,True,True,0.61159311426,True,stable,7,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-bb50c4c71a48ada030f2,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:asian:m.0bx_ks_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0354290604591,True,False,False,True,True,0.615756632893,True,stable,8,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-1a31ab37d02ba95f9b57,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.043hg_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.159938067198,False,True,False,True,True,0.904619507479,True,threshold_crossing,1,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-f42fd9f2e9552e2ac54d,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.042rb0_0006,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.149501860142,True,True,False,True,True,0.903860279591,True,threshold_crossing,2,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-02800143ce4b191c9247,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.0389h7_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.147119194269,True,True,False,True,True,0.882994046589,True,threshold_crossing,3,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-f50acbbbdc25a1ae194e,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.0k216_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.176865965128,False,True,False,True,True,0.878361831027,True,threshold_crossing,4,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-a3290dbc5225940f8b90,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:indian:m.05m_md_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.107333675027,False,True,False,True,True,0.876062600663,True,threshold_crossing,5,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-bfb663be3e506cf806bc,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.05h3r4_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.149935111403,False,True,False,True,True,0.871366825849,True,threshold_crossing,6,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-20191748a59be77a3557,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:african:m.02drk9_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.191120147705,False,True,False,True,True,0.870864751724,True,threshold_crossing,7,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-2eb936a121f15c231a11,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.09xrfm_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.147098988295,True,True,False,True,True,0.865168017634,True,threshold_crossing,8,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-5095c5af951156a6a2cd,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.01fc08_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,0.0066727399826,True,False,False,True,True,0.947082079973,True,high_error,1,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-88513786f51ccfafbe25,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.04mx___0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,-0.0274274945259,True,False,False,True,True,0.925767944922,True,high_error,2,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-31c41da8cfc1f37a100f,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.07h1f1_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,-0.0220170021057,True,False,False,True,True,0.917928097358,True,high_error,3,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-f6d0da14341048bb63ce,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.01r5wc_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,-0.00746977329254,True,False,False,True,True,0.910595338253,True,high_error,4,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-ebefc9eecaaa5c737570,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.04gtd0j_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,0.0011488199234,True,False,False,True,True,0.90188772972,True,high_error,5,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-1dd50648cbd30dda14fd,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.06wx5c_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,0.0200934112072,True,False,False,True,True,0.898458847926,True,high_error,6,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-967de54e24f084cf86ed,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.05c1bgv_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,-0.00563681125641,True,False,False,True,True,0.898115484707,True,high_error,7,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-2abf3f31866dfb0be535,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.03gs5dw_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,True,frozen_origin,-0.00933259725571,True,False,False,True,True,0.89559707186,True,high_error,8,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-ec344c84927337adf926,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.0cqh0q_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,False,frozen_origin,0.0807295441628,False,False,False,True,True,0.90116305481,True,rank_flip,1,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
gradcam-4dbdc20658759e3939a7,population-d5c97c8bdbf5139067504002,rfw_custom,rfw:caucasian:m.06dn4l_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,0.1,False,frozen_origin,0.0947818309069,False,False,False,True,True,0.891024127711,True,rank_flip,2,42,8,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
