dataset,model_uid,run_id,compression_family,compression_profile,search_mode,target_fpir,comparison_role,threshold_policy,threshold,realized_fpir,tpir20,tpir20_retention,closed_set_rank20_recall,target_met_on_test
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,0.000213576920549,3.3099978485e-05,0.016,0.111348327624,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.688186049461,0.0141782217257,0.00289624811744,1.4,0.111348327624,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.781081259251,0.000739304724979,0.000148949903183,0.0204081632653,0.111348327624,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.62770652771,0.0584215022672,0.00832464458898,1.14058956916,0.111348327624,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.1,origin,origin_calibrated,0.755183577538,0.0930784648748,0.0133392913295,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.755183577538,0.00193040678189,0.00052959965576,0.0397022332506,0.111348327624,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.593766450882,0.109836038641,0.0124786918889,0.935483870968,0.111348327624,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.00551192744956,0.00145639905334,0.0582395764394,0.111348327624,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.552727222443,0.208681080371,0.0208033364778,0.831899404368,0.111348327624,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.0125763948216,0.00266454826804,0.0708626760563,0.111348327624,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_direct_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.523934662342,0.305809292239,0.027638482035,0.735035211268,0.111348327624,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,0.0272557008609,0.00438574714926,2.12,0.167370041209,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.843882381916,0.00920845107446,0.00185359879516,0.896,0.167370041209,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.781081259251,0.100085430768,0.0128262416629,1.75736961451,0.167370041209,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.806489825249,0.0477837287245,0.00670274564322,0.918367346939,0.167370041209,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.1,origin,origin_calibrated,0.755183577538,0.0930784648748,0.0133392913295,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.755183577538,0.173605178419,0.021432236069,1.60669975186,0.167370041209,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.782965064049,0.0953867385161,0.0122635420287,0.91935483871,0.167370041209,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.296674771637,0.0364596263012,1.45797485109,0.167370041209,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.751069545746,0.187019451929,0.0229382850901,0.917273328921,0.167370041209,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.406937964119,0.0511063667809,1.35915492958,0.167370041209,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_128,pca_reconstruction_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.724793672562,0.281001511467,0.0347880773877,0.925176056338,0.167370041209,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,7.39304724979e-05,0,0,0.119259222482,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.656810104847,0.0136032069396,0.00311139797759,1.504,0.119259222482,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.781081259251,0.000295721889991,3.3099978485e-05,0.00453514739229,0.119259222482,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.59505712986,0.0580847078925,0.00893699419095,1.22448979592,0.119259222482,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.1,origin,origin_calibrated,0.755183577538,0.0930784648748,0.0133392913295,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.755183577538,0.000607872773871,9.9299935455e-05,0.00744416873449,0.119259222482,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.560568094254,0.109581389236,0.0135378912004,1.01488833747,0.119259222482,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.00205362423605,0.00052959965576,0.0211780277962,0.119259222482,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.518036842346,0.207539265295,0.0228389851547,0.913302448709,0.119259222482,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.0048876256818,0.00125779918243,0.0334507042254,0.119259222482,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_direct_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.48764103651,0.304527830716,0.0310974297867,0.827024647887,0.119259222482,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,0.011188144838,0.00244939840789,1.184,0.176158085497,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.826390385628,0.00870736676086,0.00203564867683,0.984,0.176158085497,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.781081259251,0.0543717552737,0.00819224467504,1.12244897959,0.176158085497,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.786859154701,0.0458368929487,0.00709994538504,0.972789115646,0.176158085497,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.1,origin,origin_calibrated,0.755183577538,0.0930784648748,0.0133392913295,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.755183577538,0.107913846356,0.0150273902322,1.12655086849,0.176158085497,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.761392235756,0.0935466912006,0.0130744915016,0.980148883375,0.176158085497,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.205658145495,0.0269433824868,1.07743216413,0.176158085497,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.727324187756,0.185245120589,0.0244443341112,0.977498345467,0.176158085497,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.304790694618,0.0401668238916,1.06822183099,0.176158085497,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_256,pca_reconstruction_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.699356675148,0.279177893146,0.0369726759678,0.983274647887,0.176158085497,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,0.0105063415916,0.00112539926849,0.544,0.0780993992354,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.814554274082,0.0140467897746,0.00140674908561,0.68,0.0780993992354,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
