dataset,model_uid,source_run_id,evaluation_mode,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,all,high_saliency_occlusion_score_drop,9133,1674,0.065853764941,0.0552525520325,0.968137523267,0.0640778344495,0.0675399636016,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,all,low_saliency_occlusion_score_drop,9133,1674,0.0514916821978,0.047483086586,0.963867294427,0.0506087295844,0.0524438126063,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,all,random_occlusion_score_drop,9133,1674,0.0472045512587,0.0441587567329,0.98127668893,0.0463082080572,0.0481280755659,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,all,faithfulness_gain_over_low_saliency,9133,1674,0.0143620827421,0.00696194171906,0.553925325742,0.0122567548273,0.0165090199611,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,all,faithfulness_gain_over_random,9133,1674,0.018649213683,0.0100928544998,0.601335815176,0.0168389107193,0.0205764136589,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=calibration,high_saliency_occlusion_score_drop,2217,324,0.0639153018255,0.0539546012878,0.967072620659,0.060021973821,0.0670703263414,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=calibration,low_saliency_occlusion_score_drop,2217,324,0.0533516345303,0.0493547916412,0.972034280559,0.0514765232999,0.055332113958,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=calibration,random_occlusion_score_drop,2217,324,0.0474547116332,0.0448155999184,0.983310780334,0.0459740891228,0.0487482740114,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=calibration,faithfulness_gain_over_low_saliency,2217,324,0.0105636672898,0.00594902038574,0.541271989175,0.00588443762996,0.0144552399407,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=calibration,faithfulness_gain_over_random,2217,324,0.0164605901912,0.00918304920197,0.586829048263,0.0125669665939,0.0201437359089,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=development,high_saliency_occlusion_score_drop,5334,1036,0.0660396555509,0.0550548434258,0.971128608924,0.0636118764741,0.068328197687,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=development,low_saliency_occlusion_score_drop,5334,1036,0.0509206343667,0.0467249453068,0.964191976003,0.0497591246066,0.0521389682506,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=development,random_occlusion_score_drop,5334,1036,0.0468723680298,0.0436953604221,0.981439820022,0.0457215412672,0.0481586560045,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=development,faithfulness_gain_over_low_saliency,5334,1036,0.0151190211849,0.00703716278076,0.551743532058,0.0125319644272,0.0177577050132,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=development,faithfulness_gain_over_random,5334,1036,0.0191672875237,0.00967055559158,0.60254968129,0.0165986336439,0.0214674538876,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=test,high_saliency_occlusion_score_drop,1582,314,0.0679435451013,0.0582526028156,0.959544879899,0.0635837373926,0.0724562132632,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=test,low_saliency_occlusion_score_drop,1582,314,0.0508105537593,0.0468087494373,0.951327433628,0.0485040387294,0.05308956221,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=test,random_occlusion_score_drop,1582,314,0.0479739948699,0.0449091792107,0.977876106195,0.0454664965402,0.050573081828,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=test,faithfulness_gain_over_low_saliency,1582,314,0.0171329913415,0.00951579213142,0.579013906448,0.011671477893,0.0225963796183,0.95,identity_cluster,1000
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,inline_full,protocol_role=test,faithfulness_gain_over_random,1582,314,0.0199695502287,0.0129270553589,0.617572692794,0.0150776532397,0.0250392524302,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,high_saliency_occlusion_score_drop,10000,6116,0.0923134026386,0.0886433720589,0.8603,0.0903948600036,0.0943728617551,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,low_saliency_occlusion_score_drop,10000,6116,0.031830312972,0.0229406356812,0.7001,0.030546896145,0.0332007000422,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,random_occlusion_score_drop,10000,6116,0.1148810503,0.115722239017,0.9024,0.112654499481,0.117244262217,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,faithfulness_gain_over_low_saliency,10000,6116,0.0604830896631,0.0605155825615,0.7479,0.058487956111,0.0627400743103,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,faithfulness_gain_over_random,10000,6116,-0.0225676476583,-0.0260291397572,0.3867,-0.0247208303593,-0.0203422800533,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,high_saliency_occlusion_score_drop,5008,1124,0.093570401117,0.090454608202,0.862220447284,0.0902722222917,0.0967591685555,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,low_saliency_occlusion_score_drop,5008,1124,0.0317797073131,0.022558927536,0.706269968051,0.0298904016508,0.0339599554784,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,random_occlusion_score_drop,5008,1124,0.116220932742,0.117935538292,0.898162939297,0.112038427824,0.120209507271,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,5008,1124,0.0617906938042,0.0613090693951,0.75499201278,0.0586616968223,0.0646937907579,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_random,5008,1124,-0.0226505316196,-0.0268141031265,0.389976038339,-0.0261749791153,-0.0194935741344,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,4992,4992,0.0910523753189,0.0869584083557,0.858373397436,0.088571403597,0.0935009271641,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,4992,4992,0.0318810808284,0.0234167575836,0.69391025641,0.0299887789043,0.0336850927396,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,4992,4992,0.113536873363,0.113495290279,0.906650641026,0.110981563512,0.115946888369,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,4992,4992,0.059171294483,0.0587563514709,0.74078525641,0.0562341499798,0.0618906954391,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,4992,4992,-0.0224844980433,-0.0253958702087,0.383413461538,-0.025041465849,-0.0200237826357,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,all,high_saliency_occlusion_score_drop,9994,6313,0.0804870641539,0.0677921175957,0.967580548329,0.0793513453866,0.0817746178621,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,all,low_saliency_occlusion_score_drop,9994,6313,0.0584445269538,0.0507002174854,0.9466680008,0.05753692132,0.0593972312599,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,all,random_occlusion_score_drop,9994,6313,0.0612967753944,0.0528420805931,0.978787272363,0.0604174180474,0.0621551748025,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,all,faithfulness_gain_over_low_saliency,9994,6313,0.0220425372001,0.0165604650974,0.595457274365,0.0205453890919,0.0234780658063,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,all,faithfulness_gain_over_random,9994,6313,0.0191902887581,0.0132067799568,0.596557934761,0.017813024817,0.020471686087,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=calibration_pool,high_saliency_occlusion_score_drop,1759,1270,0.0774392600067,0.0648753643036,0.971574758385,0.0748718153702,0.0805401235296,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=calibration_pool,low_saliency_occlusion_score_drop,1759,1270,0.0569175560241,0.0488300323486,0.946560545765,0.0548854449651,0.0589858410156,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=calibration_pool,random_occlusion_score_drop,1759,1270,0.0602026069669,0.0515521168709,0.979533826038,0.0579820024543,0.0623544596595,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=calibration_pool,faithfulness_gain_over_low_saliency,1759,1270,0.0205217039826,0.0158226490021,0.597498578738,0.0172482058079,0.0240285632579,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=calibration_pool,faithfulness_gain_over_random,1759,1270,0.0172366530313,0.0112260580063,0.587265491757,0.0142724744079,0.0204226399051,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=development_pool,high_saliency_occlusion_score_drop,1760,1518,0.0835831895132,0.0705626904964,0.964772727273,0.0806322342276,0.0865029464168,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=development_pool,low_saliency_occlusion_score_drop,1760,1518,0.058430964161,0.0512008368969,0.936931818182,0.0561150982818,0.0606335609705,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=development_pool,random_occlusion_score_drop,1760,1518,0.0620814970356,0.0535464882851,0.975,0.0599986327248,0.064062650614,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=development_pool,faithfulness_gain_over_low_saliency,1760,1518,0.0251522253521,0.0187742114067,0.603977272727,0.0214760387192,0.0289944271702,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=development_pool,faithfulness_gain_over_random,1760,1518,0.0215016924776,0.0149500370026,0.602272727273,0.018216013759,0.0249609327094,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=gallery,high_saliency_occlusion_score_drop,1199,1199,0.0829997860187,0.0707851648331,0.959132610509,0.0795701463875,0.0864808346598,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=gallery,low_saliency_occlusion_score_drop,1199,1199,0.0593295877829,0.0511999130249,0.951626355296,0.0568005326728,0.0619337274009,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=gallery,random_occlusion_score_drop,1199,1199,0.0620497754333,0.0516384840012,0.983319432861,0.0594471503571,0.0646944060654,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=gallery,faithfulness_gain_over_low_saliency,1199,1199,0.0236701982358,0.0175991654396,0.599666388657,0.0189401715167,0.0283211399429,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=gallery,faithfulness_gain_over_random,1199,1199,0.0209500105854,0.015545964241,0.597998331943,0.0168556858286,0.025016903725,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=known_unknown_probe,high_saliency_occlusion_score_drop,1760,1169,0.0789381884292,0.0664896965027,0.965340909091,0.0762213888305,0.0821010926046,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=known_unknown_probe,low_saliency_occlusion_score_drop,1760,1169,0.0575343809175,0.0510599911213,0.948863636364,0.0553952086396,0.0596338686908,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=known_unknown_probe,random_occlusion_score_drop,1760,1169,0.0605090644041,0.0529575645924,0.978977272727,0.0584308691306,0.0624499415384,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=known_unknown_probe,faithfulness_gain_over_low_saliency,1760,1169,0.0214038075117,0.0154290497303,0.586931818182,0.0175551006934,0.025189709772,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=known_unknown_probe,faithfulness_gain_over_random,1760,1169,0.0184291240251,0.0128723084927,0.598863636364,0.01529775713,0.0214388278893,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=registered_probe,high_saliency_occlusion_score_drop,1758,1027,0.0792786716499,0.0654656887054,0.967576791809,0.0763914967544,0.0826398684098,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=registered_probe,low_saliency_occlusion_score_drop,1758,1027,0.0602167976662,0.0513939112425,0.945961319681,0.057792353616,0.0626507680351,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=registered_probe,random_occlusion_score_drop,1758,1027,0.0622154790929,0.0533854365349,0.977815699659,0.0599806979233,0.0646200552765,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,1758,1027,0.0190618739837,0.0141425430775,0.576791808874,0.0151687344965,0.0226601102587,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_random,1758,1027,0.017063192557,0.0116914212704,0.584186575654,0.0138349550765,0.0203418058297,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,1758,1157,0.0814822454078,0.0699581801891,0.974402730375,0.0785061748892,0.084296083178,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,1758,1157,0.0585212218104,0.0501742362976,0.95164960182,0.0563277696711,0.0607195176248,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,1758,1157,0.060962290394,0.053052097559,0.9795221843,0.0589321473657,0.0630570246886,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,1758,1157,0.0229610235974,0.0184481143951,0.609215017065,0.0192117949936,0.0267983762004,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,1758,1157,0.0205199550138,0.0143540501595,0.609215017065,0.0174639728524,0.0235286918899,0.95,identity_cluster,1000
rfw_custom,arcface-7972a704552df378345f,20260829-R001-f57bd24c,derived_stratified,rfw_group=African,high_saliency_occlusion_score_drop,2500,1603,0.0833281517565,0.0709314346313,0.9716,0.0807433171706,0.0855497306347,0.95,identity_cluster,1000
