dataset,model_uid,run_id,compression_family,compression_profile,search_mode,target_fpir,comparison_role,threshold_policy,threshold,realized_fpir,tpir20,tpir20_retention,closed_set_rank20_recall,target_met_on_test
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.01,origin,origin_calibrated,0.840707361698,0.0124121048827,0.000976449365308,1,0.168478890489,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.840707361698,0.00202076624827,3.3099978485e-05,0.0338983050847,0.113102626483,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.74361461401,0.0121985279621,0.00109229929001,1.1186440678,0.113102626483,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.05,origin,origin_calibrated,0.802969455719,0.0499030689361,0.006619995697,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.802969455719,0.00452618781626,0.000148949903183,0.0225,0.113102626483,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.646217048168,0.057131826247,0.00789434486868,1.1925,0.113102626483,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.1,origin,origin_calibrated,0.778957605362,0.0926923835184,0.0127434917167,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.778957605362,0.00686731944536,0.000413749731063,0.0324675324675,0.113102626483,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.602415382862,0.109671748702,0.0139516409314,1.09480519481,0.113102626483,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.2,origin,origin_calibrated,0.745839476585,0.180012486035,0.024775333896,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.745839476585,0.0118535190905,0.00104264932228,0.0420841683367,0.113102626483,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.557549655437,0.210159689821,0.0231699849395,0.935203740815,0.113102626483,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.3,origin,origin_calibrated,0.719169616699,0.270749819281,0.0371216258709,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.719169616699,0.018260826707,0.00190324876289,0.0512706197058,0.113102626483,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.528870761395,0.310434054019,0.0299058305612,0.805617476594,0.113102626483,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.01,origin,origin_calibrated,0.840707361698,0.0124121048827,0.000976449365308,1,0.168478890489,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.840707361698,0.0352894788723,0.00344239776244,3.52542372881,0.159243996491,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.866364300251,0.0122396004469,0.0006619995697,0.677966101695,0.159243996491,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.05,origin,origin_calibrated,0.802969455719,0.0499030689361,0.006619995697,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.802969455719,0.104800552014,0.0128593416414,1.9425,0.159243996491,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.83004617691,0.0504698692252,0.00549459642851,0.83,0.159243996491,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.1,origin,origin_calibrated,0.778957605362,0.0926923835184,0.0127434917167,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.778957605362,0.173777682855,0.0215315360045,1.68961038961,0.159243996491,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.807190418243,0.0947624367484,0.0113201926419,0.888311688312,0.159243996491,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.2,origin,origin_calibrated,0.745839476585,0.180012486035,0.024775333896,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.745839476585,0.29508115923,0.0361782764841,1.46025384102,0.159243996491,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.775748491287,0.184275809949,0.0226238352945,0.913159652639,0.159243996491,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.3,origin,origin_calibrated,0.719169616699,0.270749819281,0.0371216258709,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.719169616699,0.403323585464,0.0511725667378,1.37851092287,0.159243996491,False
