reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed,comparison_family
global_empirical,fiqa_s,0.01,fpir,1802,1690,1558,121736,-0.0009200236577511,-0.001232174541631,-0.0006243017677597,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.01,tpir_at_rank_k,79,68,62,60423,-0.0001820498816675,-0.0003406611315121,-3.437188631554903e-05,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.01,fpir,1713,1690,1530,121736,-0.0001889334297167,-0.000476440822764,9.857396333048565e-05,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.01,tpir_at_rank_k,74,68,60,60423,-9.929993545504196e-05,-0.0002152176454274,1.624296281727697e-05,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.01,fpir,1802,1709,1641,121736,-0.0007639482158112,-0.0010021686271932,-0.0005337369389498,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.01,tpir_at_rank_k,79,75,72,60423,-6.619995697002797e-05,-0.0001881935228395,3.3402518603194835e-05,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.01,fpir,1713,1709,1589,121736,-3.2857987776828546e-05,-0.000279292896103,0.0002135769205493,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.01,tpir_at_rank_k,74,75,69,60423,1.6549989242506992e-05,-6.698721276941587e-05,9.833808634083976e-05,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.01,fpir,1690,1709,1529,121736,0.0001560754419399,-0.0001314319511073,0.0004353683380429,query,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,68,75,60,60423,0.0001158499246975,-1.66716221773871e-05,0.000244320967431,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.05,fpir,6470,6368,5670,121736,-0.0008378786883091,-0.0014950384438456,-0.0002053624236051,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801,-0.0006050908299745,7.010963281536457e-05,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.05,fpir,6414,6368,5651,121736,-0.0003778668594335,-0.0010103831241374,0.0002466402707498,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801,-0.0006050908299745,7.010963281536457e-05,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.05,fpir,6470,6313,6216,121736,-0.0012896760202405,-0.0015853979102319,-0.0010019632647696,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.0001947677273572,0.0001485737795155,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.05,fpir,6414,6313,6202,121736,-0.0008296641913649,-0.0011253860813563,-0.0005339423013734,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.0001947677273572,0.0001485737795155,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.05,fpir,6368,6313,5620,121736,-0.0004517973319313,-0.0010598754682263,0.0001725044358283,query,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,405,420,367,60423,0.0002482498386376,-0.0001003538320183,0.0006143507634669,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.1,fpir,11654,11464,10182,121736,-0.0015607544193993,-0.0023986331077084,-0.0006982322402576,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.1,tpir_at_rank_k,772,756,665,60423,-0.0002647998278801,-0.0009238095727399,0.0003496874331539,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.1,fpir,11611,11464,10167,121736,-0.0012075310507984,-0.0020456151015311,-0.0003450088716566,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.1,tpir_at_rank_k,770,756,665,60423,-0.000231699849395,-0.0008889930542977,0.0003828931312487,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.1,fpir,11654,11406,10688,121736,-0.0020371952421633,-0.0026945603601235,-0.0013389630019057,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.1,tpir_at_rank_k,772,788,720,60423,0.0002647998278801,-0.0001175936797268,0.0006770132086192,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.1,fpir,11611,11406,10671,121736,-0.0016839718735624,-0.002341131629099,-0.0009857396333048,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.1,tpir_at_rank_k,770,788,719,60423,0.0002978998063651,-8.847258495274906e-05,0.000712095583596,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.1,fpir,11464,11406,10134,121736,-0.000476440822764,-0.0013225340080173,0.0003534287310245,query,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,756,788,667,60423,0.0005295996557602,-0.0001796374704155,0.001267677834501,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.2,fpir,22069,22075,19476,121736,4.928698166524282e-05,-0.0011089570874679,0.0012898813826641,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1471,1442,1285,60423,-0.0004799496880327,-0.0014671489050634,0.0005335347867799,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.2,fpir,21900,22075,19399,121736,0.0014375369652362,0.000279292896103,0.0026534878754025,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.2,tpir_at_rank_k,1463,1442,1284,60423,-0.0003475497740926,-0.0013128611199596,0.0006404995016502,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.2,fpir,22069,21926,19275,121736,-0.0011746730630216,-0.0023331224945784,6.592133797726115e-05,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1471,1524,1311,60423,0.0008771494298528,-7.825614145380759e-05,0.001797919411925,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.2,fpir,21900,21926,19223,121736,0.0002135769205493,-0.0009038000262863,0.0014623858184924,query,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_l,0.2,tpir_at_rank_k,1463,1524,1307,60423,0.0010095493437929,3.407315347476831e-05,0.0019486144184116,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.2,fpir,22075,21926,19393,121736,-0.0012239600446868,-0.0023579713478346,2.464349083262141e-05,query,2000,42,False,none,8972,fiqa_same_seed
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1442,1524,1303,60423,0.0013570991178855,0.0003273021043944,0.0024313066543644,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.3,fpir,33045,32659,29018,121736,-0.0031707958204639,-0.0046001182887559,-0.0017168298613392,query,2000,42,False,none,8972,fiqa_same_seed
global_empirical,fiqa_s,0.3,tpir_at_rank_k,2161,2152,1890,60423,-0.0001489499031825,-0.0013059523693863,0.0010871641405543,mated_identity_cluster,2000,42,False,none,8972,fiqa_same_seed
global_safe,fiqa_s,0.3,fpir,32654,32659,28847,121736,4.1072484721035685e-05,-0.0013966698429388,0.0014874400341723,query,2000,42,False,none,8972,fiqa_same_seed
