dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,search_mode,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,target_fpir,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1_denominator,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_count,compressed_dir_rank1_denominator,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,both_dir_rank1_count,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,tpir_rank,origin_tpir_at_rank_k_count,origin_tpir_at_rank_k_denominator,origin_tpir_at_rank_k,origin_tpir_at_rank_k_wilson95_low,origin_tpir_at_rank_k_wilson95_high,compressed_tpir_at_rank_k_count,compressed_tpir_at_rank_k_denominator,compressed_tpir_at_rank_k,compressed_tpir_at_rank_k_wilson95_low,compressed_tpir_at_rank_k_wilson95_high,both_tpir_at_rank_k_count,compressed_minus_origin_tpir_at_rank_k,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_low,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_high,compressed_tpir_at_rank_k_retention,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_fpir,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_fpir,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,both_false_accept_count,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,confidence_interval_unit,rate_confidence_interval_method,difference_confidence_interval_method,difference_confidence_interval_resamples,difference_confidence_interval_random_seed,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,frozen_origin,0.01,calibration,test,20,2164,476,1688,0.412187039852,0.412187039852,0.412187039852,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,467,466,462,476,0.970588235294,0.951241089085,0.982400620619,462,476,0.970588235294,0.951241089085,0.982400620619,462,0,0,0,20,462,476,0.970588235294,0.951241089085,0.982400620619,462,476,0.970588235294,0.951241089085,0.982400620619,462,0,0,0,1,462,476,0.970588235294,462,476,0.970588235294,1,0.993697478992,0.993697478992,5,1688,0.00296208530806,0.00296208530806,0.00126586908499,0.00691542872429,4,1688,0.00236966824645,0.00236966824645,0.000921891687168,0.00607726225776,4,-0.000592417061611,-0.00177725118483,0,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,1,0.000462107208872,1,0.000462107208872,0,0,2145,0.991219963031,2146,0.99168207024,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,frozen_origin,0.05,calibration,test,20,2164,476,1688,0.307802498341,0.307802498341,0.307802498341,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,589,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,124,1688,0.0734597156398,0.0734597156398,0.0619589972028,0.0868974204643,118,-0.010663507109,-0.0171800947867,-0.00414691943128,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,30,0.0138632162662,24,0.0110905730129,6,0.00277264325323,2009,0.928373382625,2027,0.936691312384,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,frozen_origin,0.1,calibration,test,20,2164,476,1688,0.307802498341,0.307802498341,0.307802498341,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,589,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,124,1688,0.0734597156398,0.0734597156398,0.0619589972028,0.0868974204643,118,-0.010663507109,-0.0171800947867,-0.00414691943128,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,30,0.0138632162662,24,0.0110905730129,6,0.00277264325323,2009,0.928373382625,2027,0.936691312384,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,frozen_origin,0.2,calibration,test,20,2164,476,1688,0.307802498341,0.307802498341,0.307802498341,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,589,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,124,1688,0.0734597156398,0.0734597156398,0.0619589972028,0.0868974204643,118,-0.010663507109,-0.0171800947867,-0.00414691943128,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,30,0.0138632162662,24,0.0110905730129,6,0.00277264325323,2009,0.928373382625,2027,0.936691312384,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,frozen_origin,0.3,calibration,test,20,2164,476,1688,0.307802498341,0.307802498341,0.307802498341,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,589,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,124,1688,0.0734597156398,0.0734597156398,0.0619589972028,0.0868974204643,118,-0.010663507109,-0.0171800947867,-0.00414691943128,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,30,0.0138632162662,24,0.0110905730129,6,0.00277264325323,2009,0.928373382625,2027,0.936691312384,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,recalibrated_compressed,0.01,calibration,test,20,2164,476,1688,,0.412187039852,0.414195179939,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,467,466,462,476,0.970588235294,0.951241089085,0.982400620619,462,476,0.970588235294,0.951241089085,0.982400620619,462,0,0,0,20,462,476,0.970588235294,0.951241089085,0.982400620619,462,476,0.970588235294,0.951241089085,0.982400620619,462,0,0,0,1,462,476,0.970588235294,462,476,0.970588235294,1,0.993697478992,0.993697478992,5,1688,0.00296208530806,0.00296208530806,0.00126586908499,0.00691542872429,4,1688,0.00236966824645,0.00236966824645,0.000921891687168,0.00607726225776,4,-0.000592417061611,-0.00177725118483,0,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,1,0.000462107208872,1,0.000462107208872,0,0,2145,0.991219963031,2146,0.99168207024,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,recalibrated_compressed,0.05,calibration,test,20,2164,476,1688,,0.307802498341,0.307394057512,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,591,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,126,1688,0.074644549763,0.074644549763,0.0630497852349,0.0881709201609,120,-0.00947867298578,-0.0159952606635,-0.00353969194313,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,28,0.0129390018484,22,0.0101663585952,6,0.00277264325323,2009,0.928373382625,2025,0.935767097967,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,recalibrated_compressed,0.1,calibration,test,20,2164,476,1688,,0.307802498341,0.307394057512,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,591,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,126,1688,0.074644549763,0.074644549763,0.0630497852349,0.0881709201609,120,-0.00947867298578,-0.0159952606635,-0.00353969194313,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,28,0.0129390018484,22,0.0101663585952,6,0.00277264325323,2009,0.928373382625,2025,0.935767097967,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,recalibrated_compressed,0.2,calibration,test,20,2164,476,1688,,0.307802498341,0.307394057512,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,591,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,126,1688,0.074644549763,0.074644549763,0.0630497852349,0.0881709201609,120,-0.00947867298578,-0.0159952606635,-0.00353969194313,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,28,0.0129390018484,22,0.0101663585952,6,0.00277264325323,2009,0.928373382625,2025,0.935767097967,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,population-000e611bc7c04a81fdf193d4,origin-embedding-8577b5bbf681a732fddf7b83,lfw-identity-disjoint-open-set-v1,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.81280000613,9.61950000783,0.00444524029937,224959.717058,50,2048,102400,289792,5795.84,recalibrated_compressed,0.3,calibration,test,20,2164,476,1688,,0.307802498341,0.307394057512,464,0.974789915966,464,0.974789915966,473,0.993697478992,473,0.993697478992,607,591,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,20,463,476,0.97268907563,0.953838641232,0.983971111818,463,476,0.97268907563,0.953838641232,0.983971111818,463,0,0,0,1,463,476,0.97268907563,463,476,0.97268907563,1,0.993697478992,0.993697478992,142,1688,0.0841232227488,0.0841232227488,0.0718073450263,0.0983276621991,126,1688,0.074644549763,0.074644549763,0.0630497852349,0.0881709201609,120,-0.00947867298578,-0.0159952606635,-0.00353969194313,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,2026,0.936229205176,0.931644750278,-0.00447180278103,0.0076187138382,28,0.0129390018484,22,0.0101663585952,6,0.00277264325323,2009,0.928373382625,2025,0.935767097967,0,512,0,not_applicable,264192,pca_components_and_mean,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False
