dataset,model_uid,source_run_id,evaluation_mode,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,all,high_saliency_occlusion_score_drop,9133,1674,0.0539720959795,0.0382526516914,0.920836526881,0.0522251916833,0.0557067869402,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,all,low_saliency_occlusion_score_drop,9133,1674,0.0821783515981,0.0744405984879,0.973831161721,0.0803864469442,0.0838368228257,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,all,random_occlusion_score_drop,9133,1674,0.06661819356,0.0622304677963,0.984342494252,0.0653664693135,0.0679630661026,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,all,faithfulness_gain_over_low_saliency,9133,1674,-0.0282062556185,-0.0305845737457,0.31774882295,-0.0309591426656,-0.0254092636936,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,all,faithfulness_gain_over_random,9133,1674,-0.0126460975776,-0.020652115345,0.345122084748,-0.015015512016,-0.0101192499185,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=calibration,high_saliency_occlusion_score_drop,2217,324,0.0552280085994,0.040519297123,0.931438881371,0.0518056731927,0.0576755381347,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=calibration,low_saliency_occlusion_score_drop,2217,324,0.0846315346728,0.0767159461975,0.978349120433,0.0814843992115,0.0875739416555,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=calibration,random_occlusion_score_drop,2217,324,0.0662782522724,0.0621190071106,0.985115020298,0.0639689959985,0.069773971645,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=calibration,faithfulness_gain_over_low_saliency,2217,324,-0.0294035260728,-0.0303766131401,0.310780333784,-0.0339244834996,-0.0258727919783,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=calibration,faithfulness_gain_over_random,2217,324,-0.0110502436671,-0.020312666893,0.346865133063,-0.016236159028,-0.0077705506481,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=development,high_saliency_occlusion_score_drop,5334,1036,0.0535815268515,0.0376343727112,0.92125984252,0.0512535128118,0.0559709104374,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=development,low_saliency_occlusion_score_drop,5334,1036,0.0816395389905,0.0740122199059,0.974128233971,0.0791026602315,0.0839667509536,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=development,random_occlusion_score_drop,5334,1036,0.0668008148616,0.0624826550484,0.985939257593,0.0649944564634,0.06854411621,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=development,faithfulness_gain_over_low_saliency,5334,1036,-0.0280580121376,-0.031118363142,0.318522684664,-0.0320820694853,-0.0235187540615,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=development,faithfulness_gain_over_random,5334,1036,-0.0132192880091,-0.0206624269485,0.342144731909,-0.0165163110738,-0.00971419560256,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=test,high_saliency_occlusion_score_drop,1582,314,0.0535289464541,0.0379755496979,0.904551201011,0.0490063095997,0.0577899778226,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=test,low_saliency_occlusion_score_drop,1582,314,0.0805571882429,0.0735168606043,0.966498103666,0.0767638428624,0.0841704924763,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=test,random_occlusion_score_drop,1582,314,0.0664788432515,0.0611956715584,0.977876106195,0.063404166378,0.0696190483446,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=test,faithfulness_gain_over_low_saliency,1582,314,-0.0270282417941,-0.0296876430511,0.324905183312,-0.0328763773904,-0.0217219914947,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,inline_full,protocol_role=test,faithfulness_gain_over_random,1582,314,-0.0129498967927,-0.0212558805943,0.352718078382,-0.0172046891145,-0.00922725167153,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,all,high_saliency_occlusion_score_drop,10000,6110,0.0808731890064,0.0683221817017,0.8273,0.0790418396705,0.0829364186956,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,all,low_saliency_occlusion_score_drop,10000,6110,0.13406270964,0.11577385664,0.8714,0.13110955612,0.137079918349,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,all,random_occlusion_score_drop,10000,6110,0.0881975082017,0.0776605010033,0.8198,0.0857728253181,0.0907011268307,0.95,identity_cluster,1000
