dataset,model_uid,source_run_id,evaluation_mode,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,all,high_saliency_occlusion_score_drop,9133,1674,0.0538858216793,0.0383117794991,0.921383992117,0.0521305257106,0.0556253009637,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,all,low_saliency_occlusion_score_drop,9133,1674,0.0820290954365,0.075162768364,0.973612175627,0.0803086401069,0.0836683096301,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,all,random_occlusion_score_drop,9133,1674,0.0667713625102,0.0626304745674,0.984451987299,0.0655768418491,0.0681242241707,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,all,faithfulness_gain_over_low_saliency,9133,1674,-0.0281432737589,-0.0312376618385,0.320048176941,-0.0307396997872,-0.0252712037595,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,all,faithfulness_gain_over_random,9133,1674,-0.0128855408341,-0.0208557248116,0.344903098653,-0.0152116321436,-0.0103535639392,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=calibration,high_saliency_occlusion_score_drop,2217,324,0.0552203508735,0.040549993515,0.931889941362,0.0517177550598,0.0577527062326,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=calibration,low_saliency_occlusion_score_drop,2217,324,0.0842349536584,0.0765169858932,0.97699594046,0.0812430151435,0.0869028315787,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=calibration,random_occlusion_score_drop,2217,324,0.0663292489248,0.0622817873955,0.985115020298,0.064065312765,0.0695438066884,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=calibration,faithfulness_gain_over_low_saliency,2217,324,-0.0290146027952,-0.0318442583084,0.318899413622,-0.033017669924,-0.0254479113115,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=calibration,faithfulness_gain_over_random,2217,324,-0.0111088980555,-0.0195760130882,0.354533152909,-0.01608726056,-0.00791325369012,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=development,high_saliency_occlusion_score_drop,5334,1036,0.0534308813814,0.0375424027443,0.922572178478,0.0511143474544,0.0558404292398,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=development,low_saliency_occlusion_score_drop,5334,1036,0.0813544479913,0.074792355299,0.973003374578,0.0788033012846,0.0836457541509,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=development,random_occlusion_score_drop,5334,1036,0.0669559707097,0.0632682442665,0.985939257593,0.0652289171556,0.068753565439,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=development,faithfulness_gain_over_low_saliency,5334,1036,-0.0279235666098,-0.0314755141735,0.316085489314,-0.0320060826075,-0.0235487207845,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=development,faithfulness_gain_over_random,5334,1036,-0.0135250893321,-0.0210463702679,0.34045744282,-0.0167955739552,-0.0100504835647,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=test,high_saliency_occlusion_score_drop,1582,314,0.0535495386991,0.0375699996948,0.902654867257,0.0490754127213,0.0577870374965,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=test,low_saliency_occlusion_score_drop,1582,314,0.0812125226142,0.0737944245338,0.970922882427,0.0775397961904,0.0848256927345,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=test,random_occlusion_score_drop,1582,314,0.0667684963173,0.0602850914001,0.978508217446,0.0635224059183,0.069999488311,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=test,faithfulness_gain_over_low_saliency,1582,314,-0.0276629839107,-0.0295806229115,0.335018963338,-0.0333008988185,-0.022397527062,0.95,identity_cluster,1000
lfw,edgeface-a348c305af33c223b337,20260901-R001-03c98fe5,inline_full,protocol_role=test,faithfulness_gain_over_random,1582,314,-0.0132189576176,-0.0220621526241,0.346396965866,-0.0175435603054,-0.009308682819,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,high_saliency_occlusion_score_drop,182010,124641,0.0826885632419,0.0711510181427,0.837706719411,0.0820777023538,0.0833561808752,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,low_saliency_occlusion_score_drop,182010,124641,0.136851257522,0.118665397167,0.87589692874,0.135663621768,0.138131083856,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,random_occlusion_score_drop,182010,124641,0.0893121033824,0.0771867036819,0.823136091424,0.0882821966205,0.090451474609,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,faithfulness_gain_over_low_saliency,182010,124641,-0.0541626942834,-0.0464407503605,0.346585352453,-0.0552306190956,-0.0531321612943,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,faithfulness_gain_over_random,182010,124641,-0.0066235401457,-0.00612144172192,0.475852975111,-0.00767378613335,-0.00548994733947,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,high_saliency_occlusion_score_drop,60368,2999,0.0841420235683,0.072474360466,0.840991916247,0.0824898373397,0.0857437047773,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,low_saliency_occlusion_score_drop,60368,2999,0.139398843136,0.12145191431,0.880367081898,0.135961997129,0.142604233233,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,random_occlusion_score_drop,60368,2999,0.0888451924308,0.0778294205666,0.824128677445,0.0855297291277,0.0919033462016,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,60368,2999,-0.0552568195749,-0.0477571338415,0.346093957063,-0.0582691774938,-0.052282642685,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_random,60368,2999,-0.00470316886852,-0.00467501580715,0.480850781871,-0.00769983891009,-0.00164944778492,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,121642,121642,0.081967245827,0.0704832226038,0.836076355206,0.0814723524496,0.0824851134094,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,121642,121642,0.135586952033,0.117351576686,0.873678499203,0.134823983141,0.13633723876,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,121642,121642,0.0895438200618,0.0768894255161,0.822643494846,0.0889777573999,0.0900637767311,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,121642,121642,-0.0536197062069,-0.0458842515945,0.346829220171,-0.0543872409215,-0.0528185515066,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,121642,121642,-0.00757657423969,-0.00682106614113,0.473372683777,-0.00824770872389,-0.00694015417224,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,all,high_saliency_occlusion_score_drop,9935,6288,0.0517292372631,0.0320361256599,0.852843482637,0.0505216134338,0.0529591549422,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,all,low_saliency_occlusion_score_drop,9935,6288,0.085117888744,0.0731939673424,0.944539506794,0.0838044320009,0.0864791627383,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,all,random_occlusion_score_drop,9935,6288,0.0756504673253,0.0660147070885,0.967186713639,0.0744607561975,0.0768751376188,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,all,faithfulness_gain_over_low_saliency,9935,6288,-0.0333886514882,-0.0343795418739,0.323301459487,-0.0353315696293,-0.0313121029626,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,all,faithfulness_gain_over_random,9935,6288,-0.0239212300657,-0.0278980135918,0.321690991444,-0.0255086450396,-0.022255844169,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=calibration_pool,high_saliency_occlusion_score_drop,1751,1265,0.0511612176453,0.0321364998817,0.852655625357,0.0481550155927,0.0541527044282,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=calibration_pool,low_saliency_occlusion_score_drop,1751,1265,0.0846138148734,0.0730392336845,0.948029697316,0.081475073512,0.0877429381356,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=calibration_pool,random_occlusion_score_drop,1751,1265,0.0753068181288,0.0661649703979,0.969160479726,0.0728458493876,0.0778710925133,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=calibration_pool,faithfulness_gain_over_low_saliency,1751,1265,-0.0334525972366,-0.0348548293114,0.324957167333,-0.037822773934,-0.0287951125799,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=calibration_pool,faithfulness_gain_over_random,1751,1265,-0.0241456004822,-0.025893509388,0.31924614506,-0.0277313037127,-0.0204556794731,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=development_pool,high_saliency_occlusion_score_drop,1749,1510,0.0521612943088,0.0313230156898,0.851915380217,0.048873591554,0.055450291408,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=development_pool,low_saliency_occlusion_score_drop,1749,1510,0.0857075062714,0.0722855329514,0.944539736993,0.0824143761267,0.0889326384738,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=development_pool,random_occlusion_score_drop,1749,1510,0.0757587688175,0.0650057196617,0.970840480274,0.0731156702227,0.0783483552238,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=development_pool,faithfulness_gain_over_low_saliency,1749,1510,-0.033546211968,-0.0347385406494,0.326472269868,-0.0380681937149,-0.02881961958,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=development_pool,faithfulness_gain_over_random,1749,1510,-0.0235974745002,-0.028534412384,0.323041738136,-0.0275686168731,-0.0199171812702,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=gallery,high_saliency_occlusion_score_drop,1191,1191,0.051705559908,0.0302758216858,0.843828715365,0.0482294371663,0.0553507111985,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=gallery,low_saliency_occlusion_score_drop,1191,1191,0.0811891249005,0.0697300434113,0.955499580185,0.0774703639728,0.0848158269708,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260901-R001-0c811e8a,derived_stratified,protocol_role=gallery,random_occlusion_score_drop,1191,1191,0.0737861573796,0.065831720829,0.959697732997,0.0705035333019,0.0769615006377,0.95,identity_cluster,1000
