case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,target_fpir,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group,run_id,source_run_dir
gradcam-415f6b974b452f0cd54e,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:african:m.079vh1_0003,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.00041127204895,True,False,False,True,True,0.000477329341813,True,high_error,1,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-a1e72110ce935480c924,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:african:m.07y4v4_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0180802941322,True,False,False,True,True,0.000457238193688,True,high_error,2,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-71f85ad6fe9898aa5f38,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:african:m.03d63jl_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0160058438778,True,False,False,True,True,0.000450799254003,True,high_error,3,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-54d2fcb7ce1c8ce053e9,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:caucasian:m.0gjc6m0_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.00624167919159,True,False,False,True,True,0.000445217223998,True,high_error,4,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-2dc7c7df4d3781622d87,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:asian:m.01x_xf_0005,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0120905041695,True,False,False,True,True,0.000426871488857,True,high_error,5,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-75c49cfb41d920b2bfe7,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:indian:m.04y6w8q_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0284771621227,True,False,False,True,True,0.000411194618988,True,high_error,6,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-e28ef1f13ea7a1d4394d,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:african:m.0bqp3g_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0116863846779,True,False,False,True,True,0.000405495495979,True,high_error,7,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-1efc1a8ecd3b258d4a24,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:caucasian:m.01wzz4w_0003,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.00342112779617,True,False,False,True,True,0.000401912765562,True,high_error,8,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-64c97c7930946cf28794,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:asian:m.03wbqjn_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.00463861227036,False,False,False,True,True,0.000349006874839,True,rank_flip,1,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-071ee379ba1c9ea4437f,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:indian:m.04q86bj_0002,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0123465955257,False,False,False,True,True,0.000321432760909,True,rank_flip,2,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-0f70c44ccdb9d3f6ed95,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:african:m.06w7y0s_0002,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.00208529829979,False,False,False,True,True,0.000295014101855,True,rank_flip,3,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-2734790a568e1aa3f294,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:asian:m.03cx2x_0006,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.00845664739609,False,False,False,True,True,0.000290595436836,True,rank_flip,4,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-fd40c5d2da3b7a6b308a,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:african:m.0bxw5v_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.00333833694458,False,False,False,True,True,0.00028607531421,True,rank_flip,5,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-c64a11bfb7f9fe50295c,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:asian:m.03s42j_0003,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.00478821992874,False,False,False,True,True,0.000244331236767,True,rank_flip,6,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-d7f7e77fd2c7acd99622,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:indian:m.0j1gns6_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0178900659084,False,False,False,True,True,0.000219486388054,True,rank_flip,7,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-524dd51f8be906ee3320,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:asian:m.08pms9_0003,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.00870990753174,False,False,False,True,True,0.000203694175646,True,rank_flip,8,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-378aabb74cf06e8a55e3,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:asian:m.04f_d2d_0001,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-5.15580177307e-06,True,False,False,True,True,0,True,stable,1,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-1d897afa64388c0729cc,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:caucasian:m.0bjmjk_0004,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-5.69224357605e-06,True,False,False,True,True,0,True,stable,2,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
gradcam-70b9bed2dc48d9217abd,population-9c133b2ee2ea71f9ae5b61b8,rfw_custom,rfw:indian:m.0b6km_j_0002,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,6.13927841187e-06,True,False,False,True,True,0,True,stable,3,42,8,20260812-R001-22dd0f7b,C:\ronbun\runs\rfw_custom_20260812\20260812-R001-22dd0f7b_step4_rfw_custom_edgeface-a348c305af33c223b337
