analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,run_id,source_run_dir
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_top_left,angular_error_rad,182010,124641,-0.00245207347586,0.95,-0.00696554874277,0.00201335231069,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_top_left,reconstruction_mse,182010,124641,-0.0360187116726,0.95,-0.0408974555206,-0.0310869907733,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_top_left,cosine_to_origin,182010,124641,0.00245207347586,0.95,-0.00201335231069,0.00696554874277,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_top_right,angular_error_rad,182010,124641,0.000199865350743,0.95,-0.0042592567425,0.00435212284503,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_top_right,reconstruction_mse,182010,124641,-0.0211855321921,0.95,-0.0259946661674,-0.0158568937681,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_top_right,cosine_to_origin,182010,124641,-0.000199865350743,0.95,-0.00435212284503,0.0042592567425,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_bottom_left,angular_error_rad,182010,124641,-0.000688730599104,0.95,-0.00528966925912,0.00359330464496,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_bottom_left,reconstruction_mse,182010,124641,0.0214641432267,0.95,0.0162682718217,0.0265733215645,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_bottom_left,cosine_to_origin,182010,124641,0.000688730599104,0.95,-0.00359330464496,0.00528966925912,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
geometry,survface,edgeface-a348c305af33c223b337,pca,pca_128,quadrant_bottom_right,angular_error_rad,182010,124641,0.00184092674329,0.95,-0.00219913216091,0.00674090254199,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260812-R001-ea495479,C:\ronbun\runs\survface_20260812\20260812-R001-ea495479_step4_survface_edgeface-a348c305af33c223b337
