compression_profile,probe_type,certified_accept_count,certified_accept_ground_truth_correct_count,certified_accept_precision,certified_reject_count,certified_reject_ground_truth_correct_count,certified_reject_accuracy,mated_count,non_mated_count,certified_DIR,certified_FPIR,certified_accept_agreement_with_origin,certified_reject_agreement_with_origin
pca_128,all,0,0,,0,0,,676,1688,0.0,0.0,,
pca_128,known_unknown,0,0,,0,0,,0,857,0.0,0.0,,
pca_128,registered,0,0,,0,0,,676,0,0.0,0.0,,
pca_128,unknown_unknown,0,0,,0,0,,0,831,0.0,0.0,,
pca_256,all,2,2,1.0,0,0,,676,1688,0.0029585798816568047,0.0,1.0,
pca_256,known_unknown,0,0,,0,0,,0,857,0.0,0.0,,
pca_256,registered,2,2,1.0,0,0,,676,0,0.0029585798816568047,0.0,1.0,
pca_256,unknown_unknown,0,0,,0,0,,0,831,0.0,0.0,,
pca_384,all,666,664,0.996996996996997,1689,1684,0.9970396684428656,676,1688,0.9822485207100592,0.001184834123222749,1.0,1.0
pca_384,known_unknown,1,0,0.0,854,854,1.0,0,857,0.0,0.0011668611435239206,1.0,1.0
pca_384,registered,664,664,1.0,5,0,0.0,676,0,0.9822485207100592,0.0,1.0,1.0
pca_384,unknown_unknown,1,0,0.0,830,830,1.0,0,831,0.0,0.0012033694344163659,1.0,1.0
pca_448,all,671,669,0.9970193740685543,1692,1686,0.9964539007092199,676,1688,0.9896449704142012,0.001184834123222749,1.0,1.0
pca_448,known_unknown,1,0,0.0,856,856,1.0,0,857,0.0,0.0011668611435239206,1.0,1.0
pca_448,registered,669,669,1.0,6,0,0.0,676,0,0.9896449704142012,0.0,1.0,1.0
pca_448,unknown_unknown,1,0,0.0,830,830,1.0,0,831,0.0,0.0012033694344163659,1.0,1.0
