compression_profile,probe_type,count,accept_rate,mean_top1_score,registered_compressed_rank_inversion_rate,registered_identity_loss_rate,registered_identity_gain_rate,non_mated_top1_change_rate,candidate_miss_caused_by_compression_rate,candidate_miss_caused_by_hnsw_rate,certified_accept_correctness,certified_reject_correctness,exact_fallback_rate
pca_128,known_unknown,857,0.0011668611435239206,0.15479710979806635,,,,0.6161026837806302,0.07001166861143523,0.0,,,1.0
pca_128,registered,676,0.9896449704142012,0.49029803368643193,0.004437869822485207,0.0014792899408284023,0.0,,0.0014792899408284023,0.0,,,1.0
pca_128,unknown_unknown,831,0.0012033694344163659,0.1509310114057342,,,,0.6438026474127557,0.08062575210589651,0.0,,,1.0
pca_256,known_unknown,857,0.0011668611435239206,0.147270894584397,,,,0.3290548424737456,0.002333722287047841,0.0,,,1.0
pca_256,registered,676,0.9896449704142012,0.6099937714459981,0.0014792899408284023,0.0,0.0,,0.0,0.0,1.0,,0.9970414201183432
pca_256,unknown_unknown,831,0.0012033694344163659,0.14382598725753853,,,,0.3405535499398315,0.0012033694344163659,0.0,,,1.0
pca_384,known_unknown,857,0.0011668611435239206,0.14373739818361006,,,,0.07701283547257877,0.0,0.0,1.0,1.0,0.002333722287047841
pca_384,registered,676,0.9896449704142012,0.6594303799627801,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.010355029585798817
pca_384,unknown_unknown,831,0.0012033694344163659,0.14020757104587322,,,,0.0842358604091456,0.0,0.0,1.0,1.0,0.0
pca_448,known_unknown,857,0.0011668611435239206,0.1434993583669879,,,,0.073512252042007,0.0,0.0,1.0,1.0,0.0
pca_448,registered,676,0.9896449704142012,0.6611700216804207,0.0014792899408284023,0.0,0.0,,0.0,0.0,1.0,1.0,0.0014792899408284023
pca_448,unknown_unknown,831,0.0012033694344163659,0.14006533785739958,,,,0.0914560770156438,0.0,0.0,1.0,1.0,0.0
