dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pca,pca_128,40520,512,128,True,reconstruction,1.83520166767e-12,4.40901978917e-12,2.27834455115e-05,0.000202455001195,0.999999997442,0.999999979506,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pca,pca_256,40520,512,256,True,reconstruction,9.3359557517e-13,2.1862977412e-12,2.26261441381e-05,0.000201975269105,0.999999997458,0.999999979603,0,1024,0,not_applicable,526336,pca_components_and_mean
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pca,pca_32,40520,512,32,True,reconstruction,0.00117334378955,0.00146781357321,0.888767174096,1.04884056759,0.62731951527,0.498576431823,0,128,0,not_applicable,67584,pca_components_and_mean
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pca,pca_384,40520,512,384,True,reconstruction,3.86917046512e-13,8.8647725359e-13,2.23921447937e-05,0.000199157779366,0.999999997503,0.999999980168,0,1536,0,not_applicable,788480,pca_components_and_mean
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pca,pca_64,40520,512,64,True,reconstruction,0.000599740117123,0.000876322583418,0.584089324632,0.733972503279,0.830976957052,0.742519387791,0,256,0,not_applicable,133120,pca_components_and_mean
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pq,pq_512_m128_b8,40520,512,512,True,reconstruction,0.000181381095649,0.000204820496296,0.309116277166,0.329440873839,0.952519651094,0.946223376576,0,128,524288,faiss_centroids,524288,faiss_centroids
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pq,pq_512_m16_b8,40520,512,512,True,reconstruction,0.00130895342003,0.00142624404818,0.95744781161,1.01852634154,0.575004453717,0.524621098707,0,16,524288,faiss_centroids,524288,faiss_centroids
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pq,pq_512_m32_b8,40520,512,512,True,reconstruction,0.00101809917078,0.00111547730191,0.805526541118,0.854141183,0.692267053945,0.656866305987,0,32,524288,faiss_centroids,524288,faiss_centroids
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pq,pq_512_m64_b8,40520,512,512,True,reconstruction,0.000588804609396,0.000651223378882,0.580534883616,0.615068226088,0.835910479878,0.816734081376,0,64,524288,faiss_centroids,524288,faiss_centroids
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,population-9c133b2ee2ea71f9ae5b61b8,origin-embedding-b47262dae2ed3fe18a3143db,pq,pq_512_m8_b8,40520,512,512,True,reconstruction,0.0014909957009,0.00162002089035,1.06059690053,1.13352338734,0.487594349842,0.423470571734,0,8,524288,faiss_centroids,524288,faiss_centroids
