dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pca,pca_128,463341,512,128,True,reconstruction,0.000224930362596,0.000522648949926,0.334735653502,0.543666596441,0.939857870145,0.85581779091,0,512,0,not_applicable
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pca,pca_256,463341,512,256,True,reconstruction,5.32908434173e-05,0.000135094211532,0.158174935256,0.266128302592,0.986209315007,0.964796373724,0,1024,0,not_applicable
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pca,pca_32,463341,512,32,True,reconstruction,0.000701040857634,0.00126692566659,0.636788840137,0.93588773075,0.794772879383,0.593103925141,0,128,0,not_applicable
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pca,pca_384,463341,512,384,True,reconstruction,1.35432880283e-07,2.69173026621e-07,0.00809895172712,0.0117379431067,0.999965362618,0.999931111137,0,1536,0,not_applicable
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pca,pca_64,463341,512,64,True,reconstruction,0.000454778426047,0.000930246040284,0.493691249674,0.761464207671,0.873118810219,0.723826510047,0,256,0,not_applicable
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.000142537536154,0.000200874763848,0.271822793247,0.32556318788,0.962904575266,0.947470745298,0,128,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.00094942011551,0.00135058521389,0.770108162677,0.97728930164,0.713170979263,0.559271725402,0,16,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.00075987572972,0.00107358664594,0.671446723907,0.834076742072,0.77985097776,0.671861804386,0,32,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.000453998237523,0.000634155931228,0.500703777818,0.60573751711,0.875868872215,0.822082402215,0,64,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,population-863c3dd1d02a9ae0b4c64629,origin-embedding-d54e40273688d050e56dbca1,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.00105265994584,0.00150118308011,0.823801111593,1.060528023,0.673620247623,0.488411389969,0,8,524288,faiss_centroids
