dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_128,231511,512,128,True,reconstruction,0.000122080356355,0.000237059461843,0.247193355127,0.355795787213,0.968119462848,0.937369583982,0,512,0,not_applicable
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_256,231511,512,256,True,reconstruction,3.2252829088e-07,5.0126713833e-07,0.0127126033945,0.0160199171874,0.999917460468,0.999871683871,0,1024,0,not_applicable
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_32,231511,512,32,True,reconstruction,0.000554787690007,0.000958164497542,0.556433114367,0.775342420266,0.843884489835,0.714181395199,0,128,0,not_applicable
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_384,231511,512,384,True,reconstruction,4.92746167811e-08,7.31949562969e-08,0.0049725405415,0.00611600516712,0.999987420787,0.999981297299,0,1536,0,not_applicable
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_64,231511,512,64,True,reconstruction,0.000326015491956,0.000604344281456,0.414140807519,0.589510587605,0.911906859648,0.831212869554,0,256,0,not_applicable
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m128_b8,231511,512,512,True,reconstruction,0.000126272040032,0.000180349088124,0.255411917694,0.307947612633,0.967206981996,0.952957662184,0,128,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m16_b8,231511,512,512,True,reconstruction,0.000824307175184,0.00116708114806,0.704715766654,0.88035287448,0.758071550232,0.636879130454,0,16,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m32_b8,231511,512,512,True,reconstruction,0.000661773247993,0.000934319847654,0.618862325153,0.762785766059,0.811981667418,0.722914026704,0,32,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m64_b8,231511,512,512,True,reconstruction,0.000398967178244,0.00056266777259,0.466609244857,0.566077572086,0.891857130897,0.844011161045,0,64,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m8_b8,231511,512,512,True,reconstruction,0.000914006452375,0.00129914551567,0.750929184084,0.947899310037,0.726492721462,0.58339053854,0,8,524288,faiss_centroids
