group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
all,high_saliency_occlusion_score_drop,2048,1577,0.0970944700621,0.0888135433197,0.88720703125,0.093282321218,0.101136623697,0.95,identity_cluster,1000
all,low_saliency_occlusion_score_drop,2048,1577,0.189996531779,0.185081660748,0.966796875,0.185298653892,0.194708504814,0.95,identity_cluster,1000
all,random_occlusion_score_drop,2048,1577,0.217084972302,0.217785075307,0.990234375,0.212942013621,0.221077361959,0.95,identity_cluster,1000
all,faithfulness_gain_over_low_saliency,2048,1577,-0.0929020617041,-0.091342613101,0.19287109375,-0.0978349072054,-0.0882717121706,0.95,identity_cluster,1000
all,faithfulness_gain_over_random,2048,1577,-0.119990502288,-0.11952278018,0.1123046875,-0.124602488652,-0.115339696329,0.95,identity_cluster,1000
protocol_role=registered_probe,high_saliency_occlusion_score_drop,1024,553,0.0970757940995,0.0868005752563,0.9033203125,0.0916857891654,0.102779058824,0.95,identity_cluster,1000
protocol_role=registered_probe,low_saliency_occlusion_score_drop,1024,553,0.186356923077,0.180898338556,0.96875,0.17945088108,0.193399039528,0.95,identity_cluster,1000
protocol_role=registered_probe,random_occlusion_score_drop,1024,553,0.215399089022,0.218482419848,0.98828125,0.209063317339,0.221844598423,0.95,identity_cluster,1000
protocol_role=registered_probe,faithfulness_gain_over_low_saliency,1024,553,-0.0892811289668,-0.0901229828596,0.203125,-0.0964963228827,-0.0827507475302,0.95,identity_cluster,1000
protocol_role=registered_probe,faithfulness_gain_over_random,1024,553,-0.118323294984,-0.117310553789,0.1123046875,-0.12411883555,-0.112099439685,0.95,identity_cluster,1000
protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,1024,1024,0.0971131460246,0.0903370380402,0.87109375,0.0912506456021,0.102588610709,0.95,identity_cluster,1000
protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,1024,1024,0.193636140481,0.188599467278,0.96484375,0.186752184769,0.199962424142,0.95,identity_cluster,1000
protocol_role=unknown_unknown_probe,random_occlusion_score_drop,1024,1024,0.218770855583,0.217340692878,0.9921875,0.213476831688,0.224105860827,0.95,identity_cluster,1000
protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,1024,1024,-0.0965229944413,-0.092629045248,0.1826171875,-0.103664968184,-0.0894960403315,0.95,identity_cluster,1000
protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,1024,1024,-0.121657709591,-0.12163117528,0.1123046875,-0.128170434256,-0.115050396356,0.95,identity_cluster,1000
