dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pca,pca_128,463341,512,128,True,reconstruction,0.000196551077336,0.00039004217909,0.31593327831,0.463246452184,0.948001676043,0.894606521809,0,512,0,not_applicable,264192,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pca,pca_256,463341,512,256,True,reconstruction,1.04845092641e-05,2.10462440295e-05,0.0712299429479,0.103991082252,0.997311450417,0.994597798389,0,1024,0,not_applicable,526336,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pca,pca_32,463341,512,32,True,reconstruction,0.000649808398338,0.00116368512859,0.609390499834,0.881355350206,0.812609810901,0.636105938205,0,128,0,not_applicable,67584,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pca,pca_384,463341,512,384,True,reconstruction,1.36998849239e-07,2.15772658812e-07,0.00827656687456,0.0105080152894,0.999964961952,0.999944791315,0,1536,0,not_applicable,788480,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pca,pca_64,463341,512,64,True,reconstruction,0.000418770432266,0.000796499912656,0.474052943385,0.692549995414,0.884672729484,0.769620342358,0,256,0,not_applicable,133120,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.000135750220072,0.000198228599112,0.264891019958,0.323154092759,0.964706346083,0.94823852598,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.000895437332443,0.0013099229641,0.741804007111,0.954985991953,0.732446646179,0.577620192768,0,16,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.000720175399712,0.00104842329984,0.650117281511,0.821092019077,0.792770890597,0.681422375476,0,32,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.000431847108817,0.000624396422827,0.486856740569,0.600324258343,0.882297284308,0.825152481491,0,64,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,population-c424edf6595877edb3324b7b,origin-embedding-ed001aaa18e676b013535355,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.000988686990594,0.00145000587195,0.790008214831,1.02993058608,0.697933221597,0.514878352209,0,8,524288,faiss_centroids,524288,faiss_centroids
