dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pca,pca_128,463341,512,128,True,reconstruction,0.000225709858858,0.000525809907195,0.335297535182,0.545483902988,0.939634295991,0.854876326608,0,512,0,not_applicable,264192,pca_components_and_mean
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pca,pca_256,463341,512,256,True,reconstruction,5.37000113438e-05,0.000137178113648,0.158693073894,0.26821918485,0.986101536763,0.964244367294,0,1024,0,not_applicable,526336,pca_components_and_mean
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pca,pca_32,463341,512,32,True,reconstruction,0.00070170219046,0.00126938810567,0.637154099689,0.937184778001,0.794545552284,0.592059140184,0,128,0,not_applicable,67584,pca_components_and_mean
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pca,pca_384,463341,512,384,True,reconstruction,1.36309189002e-07,2.72512454769e-07,0.0081229252825,0.0118094997514,0.999965138297,0.999930268668,0,1536,0,not_applicable,788480,pca_components_and_mean
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pca,pca_64,463341,512,64,True,reconstruction,0.000455577513957,0.000934397842428,0.494137671754,0.763610221972,0.872852836757,0.722344133162,0,256,0,not_applicable,133120,pca_components_and_mean
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.00014266331858,0.000199880714298,0.272009691512,0.324701979321,0.962871370021,0.947745844951,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.000951099684845,0.00135033959352,0.770946962734,0.976997721861,0.712662279688,0.559513416712,0,16,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.000760907677652,0.00107435431708,0.672002114337,0.834388275508,0.779538837073,0.671631026284,0,32,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.000454524447564,0.000634008546729,0.501048751749,0.605684942461,0.875716657993,0.82211233543,0,64,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,population-8caf41f0460cebd86e1607bc,origin-embedding-13c5d2e2fa370ebd645dcf58,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.0010554444606,0.00150243524189,0.825162858558,1.06069281051,0.672713242756,0.488267587537,0,8,524288,faiss_centroids,524288,faiss_centroids
