dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pca,pca_128,463341,512,128,True,reconstruction,0.000122517746231,0.000238798923471,0.247640002097,0.357168823838,0.968002587237,0.936890421892,0,512,0,not_applicable,264192,pca_components_and_mean
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pca,pca_256,463341,512,256,True,reconstruction,3.23501274403e-07,5.02331064914e-07,0.0127330155564,0.016036324128,0.999917211278,0.99987142091,0,1024,0,not_applicable,526336,pca_components_and_mean
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pca,pca_32,463341,512,32,True,reconstruction,0.000555818232056,0.000961197262305,0.557057582553,0.776852208377,0.84355705419,0.713123789348,0,128,0,not_applicable,67584,pca_components_and_mean
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pca,pca_384,463341,512,384,True,reconstruction,4.95451136272e-08,7.34019386641e-08,0.00498682881085,0.00612477315278,0.999987351463,0.999981243636,0,1536,0,not_applicable,788480,pca_components_and_mean
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pca,pca_64,463341,512,64,True,reconstruction,0.000326626333161,0.000606411933577,0.414581906295,0.590688069483,0.91173320323,0.830557667389,0,256,0,not_applicable,133120,pca_components_and_mean
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.000127253799961,0.000181336760314,0.256459505258,0.308837309874,0.966946779514,0.952687614765,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.000829429171671,0.00117295361262,0.707434536234,0.883483065363,0.756340168316,0.63446275086,0,16,524288,faiss_centroids,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.000666199450822,0.000939509523913,0.621294406899,0.765502975811,0.810585607253,0.721033936843,0,32,524288,faiss_centroids,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.00040183820001,0.000565895941335,0.468459474696,0.567957206894,0.891031144544,0.843001574397,0,64,524288,faiss_centroids,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260811-R001-dcc2dbde,population-d9816ff2e5ab75f4ceaf1fcd,origin-embedding-f2fc33e99aa5cb9547e72117,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.000919450047892,0.00130281969309,0.753826639599,0.95005296606,0.724577124268,0.581640005233,0,8,524288,faiss_centroids,524288,faiss_centroids
