dataset,model_uid,source_run_id,evaluation_mode,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,high_saliency_occlusion_score_drop,10000,6116,0.0923134026386,0.0886433720589,0.8603,0.0903948600036,0.0943728617551,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,low_saliency_occlusion_score_drop,10000,6116,0.031830312972,0.0229406356812,0.7001,0.030546896145,0.0332007000422,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,random_occlusion_score_drop,10000,6116,0.1148810503,0.115722239017,0.9024,0.112654499481,0.117244262217,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,faithfulness_gain_over_low_saliency,10000,6116,0.0604830896631,0.0605155825615,0.7479,0.058487956111,0.0627400743103,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,all,faithfulness_gain_over_random,10000,6116,-0.0225676476583,-0.0260291397572,0.3867,-0.0247208303593,-0.0203422800533,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,high_saliency_occlusion_score_drop,5008,1124,0.093570401117,0.090454608202,0.862220447284,0.0902722222917,0.0967591685555,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,low_saliency_occlusion_score_drop,5008,1124,0.0317797073131,0.022558927536,0.706269968051,0.0298904016508,0.0339599554784,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,random_occlusion_score_drop,5008,1124,0.116220932742,0.117935538292,0.898162939297,0.112038427824,0.120209507271,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,5008,1124,0.0617906938042,0.0613090693951,0.75499201278,0.0586616968223,0.0646937907579,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_random,5008,1124,-0.0226505316196,-0.0268141031265,0.389976038339,-0.0261749791153,-0.0194935741344,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,4992,4992,0.0910523753189,0.0869584083557,0.858373397436,0.088571403597,0.0935009271641,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,4992,4992,0.0318810808284,0.0234167575836,0.69391025641,0.0299887789043,0.0336850927396,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,4992,4992,0.113536873363,0.113495290279,0.906650641026,0.110981563512,0.115946888369,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,4992,4992,0.059171294483,0.0587563514709,0.74078525641,0.0562341499798,0.0618906954391,0.95,identity_cluster,1000
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,4992,4992,-0.0224844980433,-0.0253958702087,0.383413461538,-0.025041465849,-0.0200237826357,0.95,identity_cluster,1000
