dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,target_fpir,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1_denominator,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_count,compressed_dir_rank1_denominator,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,both_dir_rank1_count,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,tpir_rank,origin_tpir_at_rank_k_count,origin_tpir_at_rank_k_denominator,origin_tpir_at_rank_k,origin_tpir_at_rank_k_wilson95_low,origin_tpir_at_rank_k_wilson95_high,compressed_tpir_at_rank_k_count,compressed_tpir_at_rank_k_denominator,compressed_tpir_at_rank_k,compressed_tpir_at_rank_k_wilson95_low,compressed_tpir_at_rank_k_wilson95_high,both_tpir_at_rank_k_count,compressed_minus_origin_tpir_at_rank_k,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_low,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_high,compressed_tpir_at_rank_k_retention,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_fpir,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_fpir,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,both_false_accept_count,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,confidence_interval_unit,rate_confidence_interval_method,difference_confidence_interval_method,difference_confidence_interval_resamples,difference_confidence_interval_random_seed,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.49210000725,0.39729999844,97.4105999921,36188.0254,20748.8362,0.11390508402,8779.23938694,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.01,calibration,test,20,182159,60423,121736,,0.817611336708,-0.393827468157,2748,0.0454793704384,2554,0.0422686725254,10742,0.177779984443,10109,0.167303841253,2068,2001,88,60423,0.00145639905334,0.00118238688641,0.00179379810819,77,60423,0.00127434917167,0.00101984627167,0.00159226210617,72,-0.000182049881668,-0.000347549774093,-3.3099978485e-05,20,146,60423,0.00241629842941,0.00205519873496,0.00284066296621,125,60423,0.00206874865531,0.00173674873011,0.00246405761178,122,-0.000347549774093,-0.000513049666518,-0.000182049881668,0.856164383562,146,60423,0.00241629842941,125,60423,0.00206874865531,0.856164383562,0.177779984443,0.167303841253,1247,121736,0.0102434776894,0.0102434776894,0.00969310738879,0.0108247561872,1218,121736,0.010005257278,0.010005257278,0.00946144013572,0.0105799976515,1103,-0.000238220411382,-0.000501084313597,1.64289938884e-05,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129282,0.709720628682,0.693745732482,,,429,0.00235508539243,248,0.00136144796579,181,0.000993637426644,120577,0.66193270714,120595,0.662031521912,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.49210000725,0.39729999844,97.4105999921,36188.0254,20748.8362,0.11390508402,8779.23938694,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.05,calibration,test,20,182159,60423,121736,,0.779959440231,-0.467569351196,2748,0.0454793704384,2554,0.0422686725254,10742,0.177779984443,10109,0.167303841253,8955,8921,244,60423,0.00403819737517,0.00356309669231,0.00457635668547,216,60423,0.00357479767638,0.00312944889902,0.00408326399973,195,-0.00046339969879,-0.00072819952667,-0.00019859987091,20,453,60423,0.00749714512686,0.00683996632251,0.00821694277377,412,60423,0.00681859556791,0.00619306192473,0.00750683432725,390,-0.000678549558943,-0.000976449365308,-0.00039719974182,0.909492273731,453,60423,0.00749714512686,412,60423,0.00681859556791,0.909492273731,0.177779984443,0.167303841253,5735,121736,0.047110139975,0.047110139975,0.0459341714677,0.0483146900499,5742,121736,0.0471676414536,0.0471676414536,0.0459909810091,0.0483728798367,5313,5.75014786095e-05,-0.000402921075113,0.000509298810541,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129282,0.709720628682,0.693745732482,,,1294,0.00710368414407,664,0.00364516713421,630,0.00345851700987,116245,0.638151285415,116210,0.637959145582,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.49210000725,0.39729999844,97.4105999921,36188.0254,20748.8362,0.11390508402,8779.23938694,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.1,calibration,test,20,182159,60423,121736,,0.755720734596,-0.51531547308,2748,0.0454793704384,2554,0.0422686725254,10742,0.177779984443,10109,0.167303841253,17290,17322,396,60423,0.00655379574003,0.00594104419947,0.00722928606449,362,60423,0.00599109610579,0.00540640809361,0.00663859444581,329,-0.000562699634245,-0.000893699419095,-0.000248249838638,20,794,60423,0.0131406914586,0.0122631481381,0.0140801360778,762,60423,0.0126110918028,0.0117518162469,0.013532335993,717,-0.00052959965576,-0.000893699419095,-0.000182049881668,0.959697732997,794,60423,0.0131406914586,762,60423,0.0126110918028,0.959697732997,0.177779984443,0.167303841253,11165,121736,0.0917148583821,0.0917148583821,0.0901063931167,0.0933490902419,11211,121736,0.0920927252415,0.0920927252415,0.0904812497647,0.0937299434658,10515,0.000377866859434,-0.000213576920549,0.000994159492673,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129282,0.709720628682,0.693745732482,,,2072,0.0113746781658,1020,0.00559950373026,1052,0.00577517443552,110967,0.609176598466,110887,0.608737421703,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.49210000725,0.39729999844,97.4105999921,36188.0254,20748.8362,0.11390508402,8779.23938694,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.2,calibration,test,20,182159,60423,121736,,0.721096873283,-0.581630349159,2748,0.0454793704384,2554,0.0422686725254,10742,0.177779984443,10109,0.167303841253,34439,34271,641,60423,0.0106085431044,0.00982220723588,0.0114571022196,589,60423,0.00974794366384,0.00899512821522,0.0105630917792,544,-0.00086059944061,-0.00124124919319,-0.000479949688033,20,1502,60423,0.0248580838422,0.0236465531981,0.0261300259877,1421,60423,0.0235175347136,0.0223391836375,0.024756467734,1361,-0.00134054912864,-0.00178739883819,-0.000910249408338,0.946071904128,1502,60423,0.0248580838422,1421,60423,0.0235175347136,0.946071904128,0.177779984443,0.167303841253,22313,121736,0.183290070316,0.183290070316,0.181126663787,0.185473464191,22220,121736,0.1825261221,0.1825261221,0.18036625942,0.184706020339,21259,-0.000763948215811,-0.0014868239469,-2.42327659854e-05,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129282,0.709720628682,0.693745732482,,,3108,0.0170620172487,1638,0.00899214422565,1470,0.00806987302302,100064,0.549322295357,100105,0.549547373448,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.49210000725,0.39729999844,97.4105999921,36188.0254,20748.8362,0.11390508402,8779.23938694,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.3,calibration,test,20,182159,60423,121736,,0.692457318306,-0.636948645115,2748,0.0454793704384,2554,0.0422686725254,10742,0.177779984443,10109,0.167303841253,52010,51932,872,60423,0.0144315906195,0.0135110609607,0.0154138574469,814,60423,0.0134716912434,0.012582923975,0.0144223177259,737,-0.000959899376065,-0.00142329907486,-0.000496499677275,20,2269,60423,0.0375519255912,0.0360652532565,0.0390973954799,2185,60423,0.0361617264949,0.0347023840252,0.0376800432742,2079,-0.00139019909637,-0.00193634874137,-0.000844049451368,0.962979286029,2269,60423,0.0375519255912,2185,60423,0.0361617264949,0.962979286029,0.177779984443,0.167303841253,33867,121736,0.278200368009,0.278200368009,0.27569015025,0.280724583391,33836,121736,0.277945718604,0.277945718604,0.275436217385,0.280469233516,32598,-0.00025464940527,-0.00102681211803,0.000599658276927,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129282,0.709720628682,0.693745732482,,,3826,0.021003628698,1952,0.010715913021,1874,0.010287715677,88741,0.487162314242,88714,0.487014092084,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36776.242,35957.7341,0.197397515906,5065.91987953,3000,2048,6144000,908288,302.762666667,frozen_origin,0.01,calibration,test,20,182159,60423,121736,0.817611336708,0.817611336708,0.817611336708,2748,0.0454793704384,2656,0.0439567714281,10742,0.177779984443,10491,0.173625937143,2068,877,88,60423,0.00145639905334,0.00118238688641,0.00179379810819,39,60423,0.000645449580458,0.000472221847753,0.000882167308537,36,-0.000810949472883,-0.00105961306125,-0.000579249623488,20,146,60423,0.00241629842941,0.00205519873496,0.00284066296621,60,60423,0.00099299935455,0.000771600404632,0.00127784411093,60,-0.00142329907486,-0.00172119888122,-0.00112539926849,0.41095890411,146,60423,0.00241629842941,60,60423,0.00099299935455,0.41095890411,0.177779984443,0.173625937143,1247,121736,0.0102434776894,0.0102434776894,0.00969310738879,0.0108247561872,516,121736,0.00423868042321,0.00423868042321,0.00388904616124,0.00461960184099,516,-0.00600479726622,-0.00645659459815,-0.00558585792206,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,137927,0.75717916765,0.751441100469,-0.0128396472304,0.0132469589433,1191,0.00653824406151,1191,0.00653824406151,0,0,120577,0.66193270714,121259,0.665676689046,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36776.242,35957.7341,0.197397515906,5065.91987953,3000,2048,6144000,908288,302.762666667,frozen_origin,0.05,calibration,test,20,182159,60423,121736,0.779959440231,0.779959440231,0.779959440231,2748,0.0454793704384,2656,0.0439567714281,10742,0.177779984443,10491,0.173625937143,8955,5342,244,60423,0.00403819737517,0.00356309669231,0.00457635668547,153,60423,0.0025321483541,0.00216182015103,0.0029657266699,145,-0.00150604902107,-0.00185359879516,-0.00117463548649,20,453,60423,0.00749714512686,0.00683996632251,0.00821694277377,278,60423,0.00460089700942,0.00409189574388,0.00517288535845,278,-0.00289624811744,-0.00332696158747,-0.00248249838638,0.613686534216,453,60423,0.00749714512686,278,60423,0.00460089700942,0.613686534216,0.177779984443,0.173625937143,5735,121736,0.047110139975,0.047110139975,0.0459341714677,0.0483146900499,3419,121736,0.0280853650522,0.0280853650522,0.0271720558261,0.0290284564863,3419,-0.0190247749228,-0.0197724995071,-0.0182688358415,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,137927,0.75717916765,0.751441100469,-0.0128396472304,0.0132469589433,3615,0.0198452999852,3614,0.0198398102756,1,5.48970953947e-06,116245,0.638151285415,118470,0.650365889141,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36776.242,35957.7341,0.197397515906,5065.91987953,3000,2048,6144000,908288,302.762666667,frozen_origin,0.1,calibration,test,20,182159,60423,121736,0.755720734596,0.755720734596,0.755720734596,2748,0.0454793704384,2656,0.0439567714281,10742,0.177779984443,10491,0.173625937143,17290,11744,396,60423,0.00655379574003,0.00594104419947,0.00722928606449,267,60423,0.00441884712775,0.00392057260199,0.00498013188357,255,-0.00213494861228,-0.00256524833259,-0.00172119888122,20,794,60423,0.0131406914586,0.0122631481381,0.0140801360778,538,60423,0.00890389421247,0.00818546519336,0.00968476321426,536,-0.00423679724608,-0.0047498469126,-0.00374029756881,0.67758186398,794,60423,0.0131406914586,538,60423,0.00890389421247,0.67758186398,0.177779984443,0.173625937143,11165,121736,0.0917148583821,0.0917148583821,0.0901063931167,0.0933490902419,7582,121736,0.062282315831,0.062282315831,0.0609385253529,0.0636537303709,7580,-0.0294325425511,-0.0304347111783,-0.0284630265493,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,137927,0.75717916765,0.751441100469,-0.0128396472304,0.0132469589433,5554,0.0304898467822,5550,0.030467887944,4,2.19588381579e-05,110967,0.609176598466,114421,0.628138055215,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36776.242,35957.7341,0.197397515906,5065.91987953,3000,2048,6144000,908288,302.762666667,frozen_origin,0.2,calibration,test,20,182159,60423,121736,0.721096873283,0.721096873283,0.721096873283,2748,0.0454793704384,2656,0.0439567714281,10742,0.177779984443,10491,0.173625937143,34439,26706,641,60423,0.0106085431044,0.00982220723588,0.0114571022196,497,60423,0.00822534465353,0.0075357898844,0.00897742567893,475,-0.00238319845092,-0.00284659814971,-0.00195248498088,20,1502,60423,0.0248580838422,0.0236465531981,0.0261300259877,1138,60423,0.018833887758,0.0177801818986,0.0199487710597,1119,-0.00602419608427,-0.00670274564322,-0.00539529649306,0.757656458056,1502,60423,0.0248580838422,1138,60423,0.018833887758,0.757656458056,0.177779984443,0.173625937143,22313,121736,0.183290070316,0.183290070316,0.181126663787,0.185473464191,17293,121736,0.142053295656,0.142053295656,0.140103513115,0.144025667967,17282,-0.0412367746599,-0.0423868042321,-0.0400867450877,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,137927,0.75717916765,0.751441100469,-0.0128396472304,0.0132469589433,7757,0.0425836768977,7745,0.0425178003832,12,6.58765144736e-05,100064,0.549322295357,104940,0.576090119072,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36776.242,35957.7341,0.197397515906,5065.91987953,3000,2048,6144000,908288,302.762666667,frozen_origin,0.3,calibration,test,20,182159,60423,121736,0.692457318306,0.692457318306,0.692457318306,2748,0.0454793704384,2656,0.0439567714281,10742,0.177779984443,10491,0.173625937143,52010,43219,872,60423,0.0144315906195,0.0135110609607,0.0154138574469,705,60423,0.011667742416,0.0108420185234,0.0125555548842,661,-0.0027638482035,-0.00329344785926,-0.00226693477649,20,2269,60423,0.0375519255912,0.0360652532565,0.0390973954799,1831,60423,0.030303030303,0.0289657976924,0.031699982122,1794,-0.00724889528822,-0.00799364480413,-0.00653683200106,0.806963420009,2269,60423,0.0375519255912,1831,60423,0.030303030303,0.806963420009,0.177779984443,0.173625937143,33867,121736,0.278200368009,0.278200368009,0.27569015025,0.280724583391,28103,121736,0.230852007623,0.230852007623,0.228493456643,0.233227544348,28081,-0.0473483603864,-0.0485396678057,-0.0461326148387,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,137927,0.75717916765,0.751441100469,-0.0128396472304,0.0132469589433,8851,0.0485894191338,8821,0.0484247278476,30,0.000164691286184,88741,0.487162314242,94338,0.517888218534,0,128,524288,faiss_centroids,524288,faiss_centroids
