dataset,model_uid,source_run_id,evaluation_mode,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,high_saliency_occlusion_score_drop,182010,124641,0.0826885632419,0.0711510181427,0.837706719411,0.0820777023538,0.0833561808752,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,low_saliency_occlusion_score_drop,182010,124641,0.136851257522,0.118665397167,0.87589692874,0.135663621768,0.138131083856,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,random_occlusion_score_drop,182010,124641,0.0893121033824,0.0771867036819,0.823136091424,0.0882821966205,0.090451474609,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,faithfulness_gain_over_low_saliency,182010,124641,-0.0541626942834,-0.0464407503605,0.346585352453,-0.0552306190956,-0.0531321612943,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,all,faithfulness_gain_over_random,182010,124641,-0.0066235401457,-0.00612144172192,0.475852975111,-0.00767378613335,-0.00548994733947,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,high_saliency_occlusion_score_drop,60368,2999,0.0841420235683,0.072474360466,0.840991916247,0.0824898373397,0.0857437047773,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,low_saliency_occlusion_score_drop,60368,2999,0.139398843136,0.12145191431,0.880367081898,0.135961997129,0.142604233233,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,random_occlusion_score_drop,60368,2999,0.0888451924308,0.0778294205666,0.824128677445,0.0855297291277,0.0919033462016,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,60368,2999,-0.0552568195749,-0.0477571338415,0.346093957063,-0.0582691774938,-0.052282642685,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_random,60368,2999,-0.00470316886852,-0.00467501580715,0.480850781871,-0.00769983891009,-0.00164944778492,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,121642,121642,0.081967245827,0.0704832226038,0.836076355206,0.0814723524496,0.0824851134094,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,121642,121642,0.135586952033,0.117351576686,0.873678499203,0.134823983141,0.13633723876,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,121642,121642,0.0895438200618,0.0768894255161,0.822643494846,0.0889777573999,0.0900637767311,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,121642,121642,-0.0536197062069,-0.0458842515945,0.346829220171,-0.0543872409215,-0.0528185515066,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,121642,121642,-0.00757657423969,-0.00682106614113,0.473372683777,-0.00824770872389,-0.00694015417224,0.95,identity_cluster,1000
