dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pca,pca_128,463341,512,128,True,reconstruction,3.47919640457e-12,9.9894941998e-12,2.44545361987e-05,0.000210798060469,0.999999997234,0.999999977782,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pca,pca_256,463341,512,256,True,reconstruction,2.34852451899e-12,6.86827360723e-12,2.40509942389e-05,0.000208854946776,0.999999997289,0.99999997819,0,1024,0,not_applicable,526336,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pca,pca_32,463341,512,32,True,reconstruction,0.000396167100271,0.00080785152541,0.454184848401,0.697957046448,0.890772131047,0.766156697087,0,128,0,not_applicable,67584,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pca,pca_384,463341,512,384,True,reconstruction,1.58811091687e-12,4.9207522165e-12,2.40667291111e-05,0.000209178901685,0.999999997279,0.999999978122,0,1536,0,not_applicable,788480,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pca,pca_64,463341,512,64,True,reconstruction,0.000130187452386,0.000309039359676,0.249053200297,0.408968687319,0.965824967532,0.917531425871,0,256,0,not_applicable,133120,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.000132174709208,0.000195209365425,0.260678511677,0.320673908692,0.965650494948,0.94902321341,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.000797939527998,0.00122510548298,0.687767845195,0.908846483406,0.765121827054,0.614656046626,0,16,524288,faiss_centroids,524288,faiss_centroids
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.000649821071089,0.00098540284972,0.609490578304,0.788495422068,0.814726433324,0.70491330044,0,32,524288,faiss_centroids,524288,faiss_centroids
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.000405807435413,0.000603041473069,0.468991253981,0.588762773919,0.889635747249,0.83162838732,0,64,524288,faiss_centroids,524288,faiss_centroids
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.000881250550285,0.00136569127296,0.730774828101,0.980278660627,0.73547627641,0.556791098224,0,8,524288,faiss_centroids,524288,faiss_centroids
