dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,target_fpir,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1_denominator,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_count,compressed_dir_rank1_denominator,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,both_dir_rank1_count,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,tpir_rank,origin_tpir_at_rank_k_count,origin_tpir_at_rank_k_denominator,origin_tpir_at_rank_k,origin_tpir_at_rank_k_wilson95_low,origin_tpir_at_rank_k_wilson95_high,compressed_tpir_at_rank_k_count,compressed_tpir_at_rank_k_denominator,compressed_tpir_at_rank_k,compressed_tpir_at_rank_k_wilson95_low,compressed_tpir_at_rank_k_wilson95_high,both_tpir_at_rank_k_count,compressed_minus_origin_tpir_at_rank_k,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_low,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_high,compressed_tpir_at_rank_k_retention,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_fpir,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_fpir,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,both_false_accept_count,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,confidence_interval_unit,rate_confidence_interval_method,difference_confidence_interval_method,difference_confidence_interval_resamples,difference_confidence_interval_random_seed,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,frozen_origin,0.01,calibration,test,20,182159,60423,121736,0.928693294525,0.928693294525,0.928693294525,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,2038,335,1,60423,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,60423,0,0,6.35720604942e-05,0,-1.65499892425e-05,-4.96499677275e-05,0,20,1,60423,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,60423,0,0,6.35720604942e-05,0,-1.65499892425e-05,-4.96499677275e-05,0,0,1,60423,1.65499892425e-05,0,60423,0,0,0.182827731162,0.1393840094,1444,121736,0.0118617335874,0.0118617335874,0.0112687860545,0.0124854871906,240,121736,0.00197147926661,0.00197147926661,0.00173752726566,0.00223686150487,240,-0.00989025432083,-0.0104654744693,-0.00938095551028,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,1703,0.00934897534571,1703,0.00934897534571,0,0,120293,0.660373629631,121496,0.666977750207,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,frozen_origin,0.05,calibration,test,20,182159,60423,121736,0.884288907051,0.884288907051,0.884288907051,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,9348,1587,54,60423,0.000893699419095,0.000685074143165,0.00116578312689,2,60423,3.3099978485e-05,9.07725491843e-06,0.000120690554078,1,-0.00086059944061,-0.00110884927925,-0.000628899591215,20,99,60423,0.00163844893501,0.00134610510362,0.00199415650774,2,60423,3.3099978485e-05,9.07725491843e-06,0.000120690554078,1,-0.00160534895652,-0.00192021250186,-0.00129089916092,0.020202020202,99,60423,0.00163844893501,2,60423,3.3099978485e-05,0.020202020202,0.182827731162,0.1393840094,6411,121736,0.0526631399093,0.0526631399093,0.051422483526,0.0539320274141,1141,121736,0.00937274101334,0.00937274101334,0.00884672348738,0.00992972168808,1141,-0.043290398896,-0.0444734918184,-0.0421483784583,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,7763,0.0426166151549,7762,0.0426111254454,1,5.48970953947e-06,115379,0.633397196954,120597,0.662042501331,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,frozen_origin,0.1,calibration,test,20,182159,60423,121736,0.853761911392,0.853761911392,0.853761911392,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,17866,3078,164,60423,0.00271419823577,0.00232978496548,0.00316183847221,11,60423,0.000182049881668,0.000101660194223,0.000325988483034,8,-0.0025321483541,-0.00294589808517,-0.00211839862304,20,395,60423,0.00653724575079,0.00592530173202,0.00721193065769,16,60423,0.00026479982788,0.000163007447038,0.000430130601475,13,-0.00627244592291,-0.00691789550337,-0.00565968257121,0.0405063291139,395,60423,0.00653724575079,16,60423,0.00026479982788,0.0405063291139,0.182827731162,0.1393840094,11993,121736,0.0985164618519,0.0985164618519,0.0968550456843,0.100203215369,2208,121736,0.0181376092528,0.0181376092528,0.0174030298943,0.0189025986153,2208,-0.0803788525991,-0.0819971084971,-0.0789002431491,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,14794,0.0812147629269,14791,0.0811982937983,3,1.64691286184e-05,109907,0.603357506354,119539,0.656234388638,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,frozen_origin,0.2,calibration,test,20,182159,60423,121736,0.80930107832,0.80930107832,0.80930107832,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,34975,6181,400,60423,0.006619995697,0.0060040243854,0.00729869737557,75,60423,0.00124124919319,0.000990438766708,0.00155547386262,63,-0.00537874650381,-0.00597495986628,-0.00479949688033,20,1152,60423,0.0190655876074,0.0180053521619,0.0201869710359,92,60423,0.00152259901031,0.00124179571079,0.00186678078081,81,-0.0175429885971,-0.0186352878871,-0.0165160617646,0.0798611111111,1152,60423,0.0190655876074,92,60423,0.00152259901031,0.0798611111111,0.182827731162,0.1393840094,23493,121736,0.19298317671,0.19298317671,0.190776011542,0.195209717499,4306,121736,0.0353716238418,0.0353716238418,0.0343485592912,0.0364240107695,4304,-0.157611552869,-0.159656962608,-0.155549714136,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,28822,0.158224408347,28808,0.158147552413,14,7.68559335526e-05,98643,0.541521418102,117505,0.645068319435,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,frozen_origin,0.3,calibration,test,20,182159,60423,121736,0.773483514786,0.773483514786,0.773483514786,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,52547,9888,689,60423,0.0114029425881,0.0105868866821,0.0122811207375,163,60423,0.00269764824653,0.00231449549394,0.0031440300695,143,-0.00870529434156,-0.00951624381444,-0.0079439948364,20,1941,60423,0.0321235291197,0.0307470574022,0.0335594885799,211,60423,0.00349204773017,0.00305221200261,0.00399501152488,194,-0.0286314813895,-0.0300051304967,-0.0272909322609,0.108706852138,1941,60423,0.0321235291197,211,60423,0.00349204773017,0.108706852138,0.182827731162,0.1393840094,35124,121736,0.288525990668,0.288525990668,0.285987561565,0.291077765751,6738,121736,0.0553492804101,0.0553492804101,0.0540787664169,0.0566478560042,6733,-0.233176710258,-0.235460545771,-0.230786291647,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,42715,0.234492942978,42687,0.234339231111,28,0.000153711867105,87301,0.479257132505,115161,0.632200440275,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.01,calibration,test,20,182159,60423,121736,,0.928693294525,0.87518197298,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,2038,1975,1,60423,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,5,60423,8.27499462125e-05,3.5346332353e-05,0.000193715099397,0,6.619995697e-05,-1.65499892425e-05,0.000148949903183,20,1,60423,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,5,60423,8.27499462125e-05,3.5346332353e-05,0.000193715099397,0,6.619995697e-05,-1.65499892425e-05,0.000148949903183,5,1,60423,1.65499892425e-05,5,60423,8.27499462125e-05,5,0.182827731162,0.1393840094,1444,121736,0.0118617335874,0.0118617335874,0.0112687860545,0.0124854871906,1419,121736,0.0116563711638,0.0116563711638,0.0110686531027,0.0122749082554,1207,-0.000205362423605,-0.000533942301373,0.000131431951107,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,629,0.00345302730033,346,0.00189943950066,283,0.00155358779967,120293,0.660373629631,120322,0.660532831208,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.05,calibration,test,20,182159,60423,121736,,0.884288907051,0.775584101677,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,9348,9614,54,60423,0.000893699419095,0.000685074143165,0.00116578312689,159,60423,0.00263144828956,0.00225337674923,0.0030727573172,40,0.00173774887046,0.00137364910713,0.0021018486338,20,99,60423,0.00163844893501,0.00134610510362,0.00199415650774,201,60423,0.00332654783774,0.00289793876662,0.00381830601836,68,0.00168809890274,0.00127434917167,0.00211839862304,2.0303030303,99,60423,0.00163844893501,201,60423,0.00332654783774,2.0303030303,0.182827731162,0.1393840094,6411,121736,0.0526631399093,0.0526631399093,0.051422483526,0.0539320274141,6561,121736,0.0538953144509,0.0538953144509,0.0526408528789,0.0551779293828,5414,0.00123217454163,0.000476440822764,0.00202076624827,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,3314,0.0181928974138,1524,0.00836631733815,1790,0.00982658007565,115379,0.633397196954,115334,0.633150160025,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.1,calibration,test,20,182159,60423,121736,,0.853761911392,0.718673467636,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,17866,18446,164,60423,0.00271419823577,0.00232978496548,0.00316183847221,403,60423,0.00666964566473,0.00605127024961,0.00735074513411,126,0.00395544742896,0.00337619780547,0.00453469705245,20,395,60423,0.00653724575079,0.00592530173202,0.00721193065769,580,60423,0.00959899376065,0.00885213217984,0.0104082069463,253,0.00306174800986,0.00239974844016,0.00377339754729,1.46835443038,395,60423,0.00653724575079,580,60423,0.00959899376065,1.46835443038,0.182827731162,0.1393840094,11993,121736,0.0985164618519,0.0985164618519,0.0968550456843,0.100203215369,12416,121736,0.101991194059,0.101991194059,0.100303689322,0.103703816858,9954,0.0034747322074,0.00240684760465,0.00457547479792,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,6912,0.0379448723368,3166,0.017380420402,3746,0.0205644519348,109907,0.603357506354,109723,0.602347399799,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.2,calibration,test,20,182159,60423,121736,,0.80930107832,0.653202712536,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,34975,36201,400,60423,0.006619995697,0.0060040243854,0.00729869737557,776,60423,0.0128427916522,0.0119754759625,0.013772046517,328,0.00622279595518,0.00551073266802,0.0069675454711,20,1152,60423,0.0190655876074,0.0180053521619,0.0201869710359,1312,60423,0.0217135858862,0.0205815247842,0.0229064582939,767,0.0026479982788,0.00167154891349,0.00365754762259,1.13888888889,1152,60423,0.0190655876074,1312,60423,0.0217135858862,1.13888888889,0.182827731162,0.1393840094,23493,121736,0.19298317671,0.19298317671,0.190776011542,0.195209717499,24260,121736,0.199283695866,0.199283695866,0.197049246994,0.201537122738,18777,0.00630051915621,0.00473155023986,0.0079682673983,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,15302,0.0840035353729,7038,0.0386365757388,8264,0.0453669596342,98643,0.541521418102,98252,0.539374941672,0,512,0,not_applicable,264192,pca_components_and_mean
survface,edgeface-a348c305af33c223b337,20260901-R001-56c2f3ed,population-97c386fe4f7b71f14ceec875,origin-embedding-d9bde86c837482d8ed5c9bfa,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36887.8083,34942.9179,0.191826469732,5213.04490144,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.3,calibration,test,20,182159,60423,121736,,0.773483514786,0.610769033432,2897,0.0479453188355,2272,0.037601575559,11047,0.182827731162,8422,0.1393840094,52547,54295,689,60423,0.0114029425881,0.0105868866821,0.0122811207375,1053,60423,0.0174271386724,0.0164140193815,0.0185016142655,538,0.00602419608427,0.00519628287242,0.00686865928537,20,1941,60423,0.0321235291197,0.0307470574022,0.0335594885799,1940,60423,0.0321069791305,0.0307308585532,0.0335425895546,1267,-1.65499892425e-05,-0.00119159922546,0.00122469920395,0.999484801649,1941,60423,0.0321235291197,1940,60423,0.0321069791305,0.999484801649,0.182827731162,0.1393840094,35124,121736,0.288525990668,0.288525990668,0.285987561565,0.291077765751,36510,121736,0.299911283433,0.299911283433,0.297343612391,0.302491581936,28140,0.0113852927647,0.00941360813564,0.0133649865282,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,100938,0.554120301495,0.451898841101,-0.131640932271,0.135015648384,23224,0.127493014345,10738,0.0589485010348,12486,0.0685445133098,87301,0.479257132505,86279,0.473646649356,0,512,0,not_applicable,264192,pca_components_and_mean
