case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-026090c6899d90f0948d,population-dbf044df999d4f4475dfda05,lfw,lfw:Vicki_Zhao_Wei:Vicki_Zhao_Wei_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0022128075361251,True,False,False,True,True,0.7194008420629804,True,high_error,1,42,8
gradcam-b8b7cb85ec188dde8da7,population-dbf044df999d4f4475dfda05,lfw,lfw:Sophia_Loren:Sophia_Loren_0007,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,-0.0169522762298584,True,False,False,True,True,0.7140654496081803,True,high_error,2,42,8
gradcam-4c871aed9e88b3f3668a,population-dbf044df999d4f4475dfda05,lfw,lfw:Ahmad_Masood:Ahmad_Masood_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0473127663135528,True,False,False,True,True,0.6779155254491943,True,high_error,3,42,8
gradcam-35eb74e020daa431ac61,population-dbf044df999d4f4475dfda05,lfw,lfw:Marcelo_Rios:Marcelo_Rios_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0417893826961517,True,False,False,True,True,0.6738705485540049,True,high_error,4,42,8
gradcam-e292eb212d4da8f67cc6,population-dbf044df999d4f4475dfda05,lfw,lfw:Michael_Chang:Michael_Chang_0004,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,-0.0186225771903991,True,False,False,True,True,0.6712705088863463,True,high_error,5,42,8
gradcam-4ef9693dc8e033d5af67,population-dbf044df999d4f4475dfda05,lfw,lfw:Tyra_Banks:Tyra_Banks_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0479780584573745,True,False,False,True,True,0.666803943961767,True,high_error,6,42,8
gradcam-c967c172969da05fbddf,population-dbf044df999d4f4475dfda05,lfw,lfw:Zhang_Ziyi:Zhang_Ziyi_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0793291479349136,True,False,False,True,True,0.6604839287288315,True,high_error,7,42,8
gradcam-5d373bf4df2f1ea8695a,population-dbf044df999d4f4475dfda05,lfw,lfw:Marcelo_Rios:Marcelo_Rios_0005,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0208612978458404,True,False,False,True,True,0.6583428857789583,True,high_error,8,42,8
gradcam-f035fedb187b7fbb4b1d,population-dbf044df999d4f4475dfda05,lfw,lfw:Nadine_Vinzens:Nadine_Vinzens_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,-0.0187257826328277,False,False,False,True,True,0.7066837277986564,True,rank_flip,1,42,8
gradcam-1d248e6af92e221d5b52,population-dbf044df999d4f4475dfda05,lfw,lfw:Barbara_Walters:Barbara_Walters_0003,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0751321017742157,False,False,False,True,True,0.6731729005155371,True,rank_flip,2,42,8
gradcam-4a1ca2ec1b038b83f236,population-dbf044df999d4f4475dfda05,lfw,lfw:Allyson_Felix:Allyson_Felix_0004,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,-0.0346694439649581,False,False,False,True,True,0.665495684415004,True,rank_flip,3,42,8
gradcam-cfd24f769027bbe3df18,population-dbf044df999d4f4475dfda05,lfw,lfw:Hassan_Nasrallah:Hassan_Nasrallah_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0546411424875259,False,False,False,True,True,0.6597071435204909,True,rank_flip,4,42,8
gradcam-1f4dc8fe5fac1dca0481,population-dbf044df999d4f4475dfda05,lfw,lfw:Reese_Witherspoon:Reese_Witherspoon_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0106921195983886,False,False,False,True,True,0.658776602582289,True,rank_flip,5,42,8
gradcam-ed11697edf6b46983eeb,population-dbf044df999d4f4475dfda05,lfw,lfw:Sachiko_Yamada:Sachiko_Yamada_0004,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,-0.007563292980194,False,False,False,True,True,0.649877618950013,True,rank_flip,6,42,8
gradcam-dd7160b04db2f4665f0e,population-dbf044df999d4f4475dfda05,lfw,lfw:Liu_Mingkang:Liu_Mingkang_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,-0.0285209566354751,False,False,False,True,True,0.6472037884199341,True,rank_flip,7,42,8
gradcam-949b8ad8eadeb6babbee,population-dbf044df999d4f4475dfda05,lfw,lfw:Ozzy_Osbourne:Ozzy_Osbourne_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0821128189563751,False,False,False,True,True,0.6439101060688901,True,rank_flip,8,42,8
gradcam-4e0af5f980ebb97f64cb,population-dbf044df999d4f4475dfda05,lfw,lfw:Gray_Davis:Gray_Davis_0004,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.0313133597373962,True,False,False,True,True,0.3452651230351605,True,stable,1,42,8
gradcam-6589e60e5eb1e6445f6b,population-dbf044df999d4f4475dfda05,lfw,lfw:Gray_Davis:Gray_Davis_0006,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.0343860387802124,True,False,False,True,True,0.3575124804673051,True,stable,2,42,8
gradcam-5f50570bc8cef6f6b956,population-dbf044df999d4f4475dfda05,lfw,lfw:Gray_Davis:Gray_Davis_0024,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.0092062354087829,True,False,False,True,True,0.3626854189473034,True,stable,3,42,8
gradcam-9a5bb8b3ff14319261d8,population-dbf044df999d4f4475dfda05,lfw,lfw:Gray_Davis:Gray_Davis_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.0328664779663085,True,False,False,True,True,0.3690407559783475,True,stable,4,42,8
