analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,9122,1674,,,,0.0020219734273956434,0.95,-0.057988402177915586,0.058421231988001775,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,9122,1674,,,,0.0020199087935399754,0.95,-0.05798919949482096,0.058422260221807215,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,cosine_to_origin,9122,1674,,,,-0.0020219734273956434,0.95,-0.058421231988001775,0.057988402177915566,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,9122,1674,,,,-0.04440488759731105,0.95,-0.09907189325341662,0.014363188282489206,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,reconstruction_mse,9122,1674,,,,-0.04440519673635151,0.95,-0.09907442421293602,0.014362231615191762,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,cosine_to_origin,9122,1674,,,,0.04440488759731105,0.95,-0.014363188282489208,0.0990718932534166,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,angular_error_rad,9122,1674,,,,0.016727950199392303,0.95,-0.0348074582723019,0.06479749677672633,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,reconstruction_mse,9122,1674,,,,0.016728354937842766,0.95,-0.034806414394129286,0.06479667376780854,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,cosine_to_origin,9122,1674,,,,-0.016727950199392303,0.95,-0.06479749677672635,0.034807458272301896,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,angular_error_rad,9122,1674,,,,0.07262517295444648,0.95,0.018071507978226986,0.1229767193213929,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,reconstruction_mse,9122,1674,,,,0.07262661158701393,0.95,0.01807440856911733,0.1229813163915516,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,cosine_to_origin,9122,1674,,,,-0.07262517295444648,0.95,-0.12297671932139291,-0.018071507978226986,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,angular_error_rad,9122,1674,,,,0.03773114752561858,0.95,-0.001816937129472024,0.07742332294741944,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,reconstruction_mse,9122,1674,,,,0.0377307242198289,0.95,-0.0018138108367804712,0.07742271218389539,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,cosine_to_origin,9122,1674,,,,-0.03773114752561858,0.95,-0.07742332294741944,0.0018169371294720234,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,angular_error_rad,9122,1674,,,,-0.010190815654666617,0.95,-0.055441159641394344,0.040954812806476434,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,reconstruction_mse,9122,1674,,,,-0.010192164845047104,0.95,-0.055442626752237434,0.04095223116259519,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,cosine_to_origin,9122,1674,,,,0.010190815654666617,0.95,-0.040954812806476434,0.05544115964139434,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,nose_attention,angular_error_rad,9122,1674,,,,0.04808954707296952,0.95,-0.00498757036094805,0.09886013656608286,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,nose_attention,reconstruction_mse,9122,1674,,,,0.04809102723451979,0.95,-0.004984304655407458,0.09886370665256403,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,nose_attention,cosine_to_origin,9122,1674,,,,-0.04808954707296952,0.95,-0.09886013656608286,0.004987570360948045,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,angular_error_rad,9122,1674,,,,0.05680113707592805,0.95,0.0006936836117100969,0.10229863474365941,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,reconstruction_mse,9122,1674,,,,0.05680150307661476,0.95,0.0006948088234134821,0.1022981217603169,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,cosine_to_origin,9122,1674,,,,-0.05680113707592805,0.95,-0.10229863474365941,-0.0006936836117101021,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,angular_error_rad,9122,1674,,,,0.027760252387141283,0.95,-0.02033779600001747,0.07696918975303513,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
