case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,target_fpir,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-372fbf8fe4425b26b941,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Sophia_Loren:Sophia_Loren_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,-0.0124306082725524,True,False,False,True,True,0.7075212120470638,True,high_error,1,8972,8
gradcam-df3c11490cc027481c09,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Ahmad_Masood:Ahmad_Masood_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0344222486019134,True,False,False,True,True,0.6779155460355897,True,high_error,2,8972,8
gradcam-68577392cca81eaf6ee9,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Amelia_Vega:Amelia_Vega_0004,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.0053422451019287,True,False,False,True,True,0.6755914032502579,True,high_error,3,8972,8
gradcam-c5760596544e49d0b120,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Marcelo_Rios:Marcelo_Rios_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0241797566413879,True,False,False,True,True,0.6738705047151333,True,high_error,4,8972,8
gradcam-d76c96aab4b40d93d157,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Tyra_Banks:Tyra_Banks_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0560652017593383,True,False,False,True,True,0.6668039149676356,True,high_error,5,8972,8
gradcam-d4b4eb971934b581f388,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Mary_Tyler_Moore:Mary_Tyler_Moore_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.006953090429306,True,False,False,True,True,0.6580265946341436,True,high_error,6,8972,8
gradcam-b442b5df071cd99cccaa,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Tyron_Garner:Tyron_Garner_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0050341933965682,True,False,False,True,True,0.6573840822536827,True,high_error,7,8972,8
gradcam-ad88b438829224fd18e5,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Mary_Tyler_Moore:Mary_Tyler_Moore_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0019586831331253,True,False,False,True,True,0.6516020628101129,True,high_error,8,8972,8
gradcam-ed593d875ebd9745c850,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Vicki_Zhao_Wei:Vicki_Zhao_Wei_0002,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.026271715760231,False,False,False,True,True,0.7194008562978578,True,rank_flip,1,8972,8
gradcam-cd4333b39a92d2034a15,population-b925dcb7a165c4199b4b68d2,lfw,lfw:Nadine_Vinzens:Nadine_Vinzens_0001,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.0341621935367584,False,False,False,True,True,0.7066837880209943,True,rank_flip,2,8972,8
