analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,9122,1674,,,,0.0020219904382231474,0.95,-0.05798823052577657,0.05842111035272324,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,9122,1674,,,,0.002019976931705907,0.95,-0.05798918939137149,0.05842248671841227,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,cosine_to_origin,9122,1674,,,,-0.0020219904382231474,0.95,-0.05842111035272324,0.057988230525776556,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,9122,1674,,,,-0.04440472204018557,0.95,-0.0990717691288567,0.014363455281956355,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,reconstruction_mse,9122,1674,,,,-0.044405136454712904,0.95,-0.09907438814775074,0.014362231615191762,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,cosine_to_origin,9122,1674,,,,0.04440472204018557,0.95,-0.014363455281956356,0.0990717691288567,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,angular_error_rad,9122,1674,,,,0.016727925394321067,0.95,-0.03480763197168166,0.06479755873989347,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,reconstruction_mse,9122,1674,,,,0.01672821252606347,0.95,-0.034806608875656384,0.06479647206088097,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,cosine_to_origin,9122,1674,,,,-0.016727925394321067,0.95,-0.06479755873989348,0.03480763197168165,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,angular_error_rad,9122,1674,,,,0.0726251236814431,0.95,0.018071650334566466,0.1229764187648229,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
