analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_left,angular_error_rad,90697,62364,0.02558260404207622,0.95,0.017597401443405627,0.033262170838075325,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_left,reconstruction_mse,90697,62364,0.025586223471022965,0.95,0.017598390577474237,0.03326553917813806,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_left,cosine_to_origin,90697,62364,-0.02558260404207622,0.95,-0.033262170838075325,-0.01759740144340563,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_right,angular_error_rad,90697,62364,-0.034599126152196354,0.95,-0.043559448569166485,-0.024837529200929607,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_right,reconstruction_mse,90697,62364,-0.03459821032076525,0.95,-0.04355998713670719,-0.02483997545413195,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_right,cosine_to_origin,90697,62364,0.034599126152196354,0.95,0.024837529200929603,0.043559448569166485,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_left,angular_error_rad,90697,62364,0.051911393747719664,0.95,0.042168122444675715,0.061414420315132334,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_left,reconstruction_mse,90697,62364,0.051905559097449205,0.95,0.04216217580523723,0.061404878416548576,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_left,cosine_to_origin,90697,62364,-0.051911393747719664,0.95,-0.061414420315132334,-0.042168122444675715,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_right,angular_error_rad,90697,62364,0.022314065081241542,0.95,0.01406080102884588,0.030242874814900365,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_right,reconstruction_mse,90697,62364,0.022312237220162682,0.95,0.014064726649937288,0.030235718009115578,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_right,cosine_to_origin,90697,62364,-0.022314065081241542,0.95,-0.030242874814900365,-0.014060801028845884,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_eye_attention,angular_error_rad,90697,62364,0.02178791465980769,0.95,0.013522527288418266,0.030176801527796827,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_eye_attention,reconstruction_mse,90697,62364,0.02178131907619454,0.95,0.013516787579698163,0.03017635856385572,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_eye_attention,cosine_to_origin,90697,62364,-0.02178791465980769,0.95,-0.03017680152779683,-0.01352252728841827,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_eye_attention,angular_error_rad,90697,62364,0.04999739065566476,0.95,0.0420195452975854,0.057253561734994546,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_eye_attention,reconstruction_mse,90697,62364,0.049992720738136216,0.95,0.042014417892071575,0.05724673156961572,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_eye_attention,cosine_to_origin,90697,62364,-0.04999739065566476,0.95,-0.057253561734994546,-0.0420195452975854,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,nose_attention,angular_error_rad,90697,62364,0.083093166667079,0.95,0.07291110010188402,0.09161091520761427,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,nose_attention,reconstruction_mse,90697,62364,0.0830892999395385,0.95,0.07290693661589394,0.09160620633635831,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,nose_attention,cosine_to_origin,90697,62364,-0.083093166667079,0.95,-0.09161091520761427,-0.07291110010188402,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,mouth_attention,angular_error_rad,90697,62364,0.21551082594023804,0.95,0.20663694428498672,0.22521343767434113,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,mouth_attention,reconstruction_mse,90697,62364,0.21550929890228052,0.95,0.20663261908550434,0.2252123367197326,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,mouth_attention,cosine_to_origin,90697,62364,-0.21551082594023804,0.95,-0.2252134376743416,-0.20663694428498672,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_cheek_attention,angular_error_rad,90040,61816,0.12433076222154582,0.95,0.11556317628196516,0.13246472356199984,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_cheek_attention,reconstruction_mse,90040,61816,0.12432692145043635,0.95,0.11556088183071678,0.1324622694725481,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_cheek_attention,cosine_to_origin,90040,61816,-0.12433076222154582,0.95,-0.13246472356199984,-0.11556317628196518,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_cheek_attention,angular_error_rad,89990,61831,0.1063088927248162,0.95,0.0972244068008638,0.1144219125673494,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_cheek_attention,reconstruction_mse,89990,61831,0.10630195604973401,0.95,0.09721535697067597,0.11441725907883935,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_cheek_attention,cosine_to_origin,89990,61831,-0.1063088927248162,0.95,-0.1144219125673494,-0.0972244068008638,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,jaw_attention,angular_error_rad,90697,62364,0.23312945297886634,0.95,0.22465130979889197,0.2433264390773263,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,jaw_attention,reconstruction_mse,90697,62364,0.23312910546231336,0.95,0.2246510026018357,0.24333140300564515,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,jaw_attention,cosine_to_origin,90697,62364,-0.23312945297886634,0.95,-0.2433264390773263,-0.22465130979889247,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,face_attention,angular_error_rad,90697,62364,0.27622628057363335,0.95,0.2633932851287504,0.2882713701442271,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,face_attention,reconstruction_mse,90697,62364,0.2762239075510839,0.95,0.2633920228956871,0.2882684748051417,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,face_attention,cosine_to_origin,90697,62364,-0.27622628057363335,0.95,-0.2882713701442271,-0.2633932851287504,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,outside_face_attention,angular_error_rad,90697,62364,-0.27622628057363335,0.95,-0.2882713701442271,-0.2633932851287504,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,outside_face_attention,reconstruction_mse,90697,62364,-0.2762239075510839,0.95,-0.2882684748051417,-0.2633920228956871,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,outside_face_attention,cosine_to_origin,90697,62364,0.27622628057363335,0.95,0.2633932851287504,0.2882713701442271,500,weighted_rerank,identity-cluster-weighted-rerank-v1
