analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,182159,124736,-0.007439397946567665,0.95,-0.014782357358975496,0.0004510701225585287,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,182159,124736,-0.00743956275563125,0.95,-0.014782600159999453,0.00045140061259242375,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,cosine_to_origin,182159,124736,0.007439397946567665,0.95,-0.0004510701225585297,0.014782357358975496,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,182159,124736,-0.13782884858977584,0.95,-0.14588792253582633,-0.1297457017385317,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,reconstruction_mse,182159,124736,-0.13782815869889845,0.95,-0.14588676493311006,-0.12974462328842956,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,cosine_to_origin,182159,124736,0.13782884858977584,0.95,0.1297457017385317,0.14588792253582633,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,angular_error_rad,182159,124736,0.11211918268845224,0.95,0.10414511322531748,0.11999366668396032,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,reconstruction_mse,182159,124736,0.11211827519948361,0.95,0.10414409187988037,0.1199929040261265,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,cosine_to_origin,182159,124736,-0.11211918268845224,0.95,-0.11999366668396032,-0.10414511322531748,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,angular_error_rad,182159,124736,0.006492422716722361,0.95,-0.0018006880869599123,0.014109603397529228,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,reconstruction_mse,182159,124736,0.006492938907850702,0.95,-0.0017988375476930903,0.014110089354074184,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,cosine_to_origin,182159,124736,-0.006492422716722361,0.95,-0.014109603397529228,0.0018006880869599104,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,angular_error_rad,182159,124736,-0.05118672514622753,0.95,-0.0593445866089277,-0.04414852982446501,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,reconstruction_mse,182159,124736,-0.051185864945236116,0.95,-0.059343067269446825,-0.04414785992587254,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,cosine_to_origin,182159,124736,0.05118672514622753,0.95,0.04414852982446501,0.05934458660892769,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,angular_error_rad,182159,124736,-0.14762302769408056,0.95,-0.15486797524323626,-0.1405557549291263,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,reconstruction_mse,182159,124736,-0.14762200567892542,0.95,-0.1548670293247939,-0.1405537655385005,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,cosine_to_origin,182159,124736,0.14762302769408056,0.95,0.1405557549291263,0.15486797524323626,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,angular_error_rad,182159,124736,0.07737443056558733,0.95,0.06997906815038984,0.08438444516429709,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,reconstruction_mse,182159,124736,0.07737510882231072,0.95,0.06998071873927586,0.08438573963979291,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,cosine_to_origin,182159,124736,-0.07737443056558733,0.95,-0.08438444516429709,-0.06997906815038984,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,angular_error_rad,182159,124736,0.2110272356174178,0.95,0.20457448401672576,0.21747847204730256,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,reconstruction_mse,182159,124736,0.21102612884681032,0.95,0.20457236921111455,0.21747651862060624,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,cosine_to_origin,182159,124736,-0.2110272356174178,0.95,-0.21747847204730256,-0.20457448401672576,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,angular_error_rad,180861,123641,0.110218524886957,0.95,0.10353939170423478,0.11761336107446572,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,reconstruction_mse,180861,123641,0.11021873946545388,0.95,0.10353884750734484,0.11761426802620564,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,cosine_to_origin,180861,123641,-0.110218524886957,0.95,-0.11761336107446574,-0.10353939170423478,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,angular_error_rad,180793,123703,0.05806439520777176,0.95,0.051006608183306934,0.06526815017968536,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,reconstruction_mse,180793,123703,0.05806416593795443,0.95,0.05100690396609053,0.06526897600326895,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,cosine_to_origin,180793,123703,-0.05806439520777176,0.95,-0.06526815017968536,-0.05100660818330694,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,angular_error_rad,182159,124736,0.17429120619482405,0.95,0.16767976573194893,0.1818173510635139,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,reconstruction_mse,182159,124736,0.17429025642502108,0.95,0.16767864227135496,0.18181693933803883,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,cosine_to_origin,182159,124736,-0.17429120619482405,0.95,-0.1818173510635139,-0.16767976573194893,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,angular_error_rad,182159,124736,0.2537523859123335,0.95,0.24451390322704755,0.2637436966364841,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,reconstruction_mse,182159,124736,0.253752927295273,0.95,0.24451513079943002,0.2637442225148398,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,cosine_to_origin,182159,124736,-0.2537523859123335,0.95,-0.2637436966364841,-0.24451390322704755,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,angular_error_rad,182159,124736,-0.2537523859123335,0.95,-0.2637436966364841,-0.24451390322704755,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,reconstruction_mse,182159,124736,-0.253752927295273,0.95,-0.2637442225148398,-0.24451513079943002,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,cosine_to_origin,182159,124736,0.2537523859123335,0.95,0.24451390322704755,0.2637436966364841,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,angular_error_rad,182159,124736,-0.10915869646935918,0.95,-0.11688055528172267,-0.10007696734855061,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,reconstruction_mse,182159,124736,-0.10916015549150622,0.95,-0.11688256750657801,-0.10007909376450466,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,cosine_to_origin,182159,124736,0.10915869646935918,0.95,0.10007696734855061,0.11688055528172267,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,angular_error_rad,182159,124736,0.07334579855678935,0.95,0.06611769541359645,0.0815754162635617,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,reconstruction_mse,182159,124736,0.07334476824714412,0.95,0.06611608081953654,0.08157425941425493,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,cosine_to_origin,182159,124736,-0.07334579855678935,0.95,-0.0815754162635617,-0.06611769541359645,500,weighted_rerank,identity-cluster-weighted-rerank-v1
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,angular_error_rad,182159,124736,0.2126770002333461,0.95,0.20334235005580897,0.2221016072058958,500,weighted_rerank,identity-cluster-weighted-rerank-v1
