case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,target_fpir,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-fc1e67af2d392a00d7e9,population-c424edf6595877edb3324b7b,survface,survface:registered_probe:2973_cam3_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.2863254845142364,True,False,False,True,True,0.7984039529299121,True,high_error,1,42,8
gradcam-8ec93a855c4196486bfb,population-c424edf6595877edb3324b7b,survface,survface:unknown_unknown_probe:distractors_2185,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.2209479808807373,True,False,False,True,True,0.7646228279918378,True,high_error,2,42,8
gradcam-d2265f0d453ee2cddb62,population-c424edf6595877edb3324b7b,survface,survface:unknown_unknown_probe:distractors_3188,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.1899363994598388,True,False,False,True,True,0.7426277335069857,True,high_error,3,42,8
gradcam-bde8529839e259513352,population-c424edf6595877edb3324b7b,survface,survface:unknown_unknown_probe:distractors_12179,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.2532030642032623,True,False,False,True,True,0.7361808704495505,True,high_error,4,42,8
gradcam-0cacf5f44aae5582e025,population-c424edf6595877edb3324b7b,survface,survface:registered_probe:2742_cam2_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.1493742167949676,True,False,False,True,True,0.735114128831636,True,high_error,5,42,8
gradcam-33ae06b985220fd81021,population-c424edf6595877edb3324b7b,survface,survface:unknown_unknown_probe:2863_cam3_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.2722595930099487,True,False,False,True,True,0.7206511283971274,True,high_error,6,42,8
gradcam-6ca49df09a51e90d422e,population-c424edf6595877edb3324b7b,survface,survface:registered_probe:9101_cam1_88,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.1771539151668548,True,False,False,True,True,0.7084533289425032,True,high_error,7,42,8
gradcam-8e6a4ddbb1a921e59143,population-c424edf6595877edb3324b7b,survface,survface:unknown_unknown_probe:distractors_3189,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.1745857894420623,True,False,False,True,True,0.7061333152846851,True,high_error,8,42,8
gradcam-32eee69ef988e4bce51c,population-c424edf6595877edb3324b7b,survface,survface:unknown_unknown_probe:2197_cam2_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.1275005936622619,False,False,False,True,True,0.7489665824551831,True,rank_flip,1,42,8
gradcam-afe1d6b392c9a4bbb1c4,population-c424edf6595877edb3324b7b,survface,survface:registered_probe:9197_cam1_91,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.1361288726329803,False,False,False,True,True,0.7318101096829703,True,rank_flip,2,42,8
