analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,182159,124736,,,,-0.00768793293680414,0.95,-0.016080185637503203,0.00030549803990540073,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,182159,124736,,,,-0.007688354389257487,0.95,-0.01607969965869141,0.0003059695606986476,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,cosine_to_origin,182159,124736,,,,0.00768793293680414,0.95,-0.00030549803990540143,0.016080185637503203,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,182159,124736,,,,-0.13711231673103774,0.95,-0.14656832000004366,-0.1281858621232716,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,reconstruction_mse,182159,124736,,,,-0.13711034115023904,0.95,-0.14656613585501477,-0.1281827286434156,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,cosine_to_origin,182159,124736,,,,0.13711231673103774,0.95,0.1281858621232716,0.14656832000004366,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,angular_error_rad,182159,124736,,,,0.11092086894040805,0.95,0.10310470650184271,0.11957052162966071,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,reconstruction_mse,182159,124736,,,,0.11091913356869038,0.95,0.10310333497557844,0.11956905372918003,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,cosine_to_origin,182159,124736,,,,-0.11092086894040805,0.95,-0.11957052162966071,-0.10310470650184271,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,angular_error_rad,182159,124736,,,,0.007438970179671736,0.95,-0.001183338760397398,0.01682475326833813,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,reconstruction_mse,182159,124736,,,,0.007438974000676799,0.95,-0.0011838558129016732,0.016824168015341246,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,cosine_to_origin,182159,124736,,,,-0.007438970179671736,0.95,-0.016824753268338134,0.0011833387603973978,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,angular_error_rad,182159,124736,,,,-0.050950118963344136,0.95,-0.0576217984574816,-0.04392016899311377,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,reconstruction_mse,182159,124736,,,,-0.050949813094953424,0.95,-0.057621703875941746,-0.04392036678147739,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,cosine_to_origin,182159,124736,,,,0.050950118963344136,0.95,0.04392016899311377,0.0576217984574816,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,angular_error_rad,182159,124736,,,,-0.14679467241976932,0.95,-0.15337768677484626,-0.1381622349387995,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,reconstruction_mse,182159,124736,,,,-0.1467935202435703,0.95,-0.1533765010962381,-0.13816097786343,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,cosine_to_origin,182159,124736,,,,0.14679467241976932,0.95,0.1381622349387995,0.15337768677484626,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,angular_error_rad,182159,124736,,,,0.07636875886244247,0.95,0.06932492244579273,0.0836044592189827,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,reconstruction_mse,182159,124736,,,,0.07636841140642611,0.95,0.06932481863559456,0.08360498872746516,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,cosine_to_origin,182159,124736,,,,-0.07636875886244247,0.95,-0.0836044592189827,-0.06932492244579273,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,angular_error_rad,182159,124736,,,,0.21038603749387053,0.95,0.20403764170515862,0.2167453009769417,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,reconstruction_mse,182159,124736,,,,0.21038456564329255,0.95,0.2040368184084198,0.21674215747059256,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,cosine_to_origin,182159,124736,,,,-0.21038603749387053,0.95,-0.2167453009769417,-0.20403764170515862,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,angular_error_rad,180861,123641,,,,0.10927879830344085,0.95,0.1024071433427196,0.11599947516872079,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,reconstruction_mse,180861,123641,,,,0.10927845607352481,0.95,0.10240685856890602,0.11599933007979098,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,cosine_to_origin,180861,123641,,,,-0.10927879830344085,0.95,-0.1159994751687208,-0.1024071433427196,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,angular_error_rad,180793,123703,,,,0.05795057331893555,0.95,0.05094202920903624,0.06563907553993267,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,reconstruction_mse,180793,123703,,,,0.057950275844774246,0.95,0.05094200488289663,0.06563810866050725,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,cosine_to_origin,180793,123703,,,,-0.05795057331893555,0.95,-0.06563907553993267,-0.050942029209036246,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,angular_error_rad,182159,124736,,,,0.17299305245591845,0.95,0.1657760640091531,0.1796894123799271,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,reconstruction_mse,182159,124736,,,,0.172991419267069,0.95,0.1657738092166758,0.17968805968572657,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,cosine_to_origin,182159,124736,,,,-0.17299305245591845,0.95,-0.1796894123799271,-0.1657760640091531,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,angular_error_rad,182159,124736,,,,0.25267981705227005,0.95,0.24397723904580979,0.2618479451860807,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,reconstruction_mse,182159,124736,,,,0.2526792380130756,0.95,0.24397674687360696,0.26184806092129415,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,cosine_to_origin,182159,124736,,,,-0.25267981705227005,0.95,-0.2618479451860807,-0.24397723904580979,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,angular_error_rad,182159,124736,,,,-0.25267981705227005,0.95,-0.2618479451860807,-0.24397723904580979,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,reconstruction_mse,182159,124736,,,,-0.2526792380130756,0.95,-0.26184806092129415,-0.24397674687360696,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
