analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,182159,124736,,,,-0.007687962692647385,0.95,-0.01608023550530145,0.00030544703711389326,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,182159,124736,,,,-0.0076883591960268454,0.95,-0.016079712864212,0.000305967421979766,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,cosine_to_origin,182159,124736,,,,0.007687962692647385,0.95,-0.00030544703711389397,0.01608023550530145,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,182159,124736,,,,-0.13711229286021795,0.95,-0.14656832991861155,-0.12818584333728686,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,reconstruction_mse,182159,124736,,,,-0.13711034588976273,0.95,-0.14656612932045057,-0.1281827418177546,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,cosine_to_origin,182159,124736,,,,0.13711229286021795,0.95,0.12818584333728686,0.14656832991861155,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,angular_error_rad,182159,124736,,,,0.11092085753296475,0.95,0.10310469632218791,0.11957050453701937,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,reconstruction_mse,182159,124736,,,,0.11091914125971289,0.95,0.10310333907211244,0.11956905693532015,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,cosine_to_origin,182159,124736,,,,-0.11092085753296475,0.95,-0.11957050453701937,-0.10310469632218791,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,angular_error_rad,182159,124736,,,,0.007438983478581826,0.95,-0.0011833177208335033,0.016824761682604283,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,reconstruction_mse,182159,124736,,,,0.007438976777203852,0.95,-0.0011838481362368878,0.016824170987818524,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,cosine_to_origin,182159,124736,,,,-0.007438983478581826,0.95,-0.016824761682604286,0.001183317720833503,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,angular_error_rad,182159,124736,,,,-0.050950126425669866,0.95,-0.05762179055717815,-0.0439201709760193,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,reconstruction_mse,182159,124736,,,,-0.05094981964562199,0.95,-0.05762170542771683,-0.04392037790103791,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,cosine_to_origin,182159,124736,,,,0.050950126425669866,0.95,0.0439201709760193,0.05762179055717814,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,angular_error_rad,182159,124736,,,,-0.1467946518164753,0.95,-0.15337766482997917,-0.13816220774659294,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,reconstruction_mse,182159,124736,,,,-0.14679351686790354,0.95,-0.1533764977288733,-0.13816096855586957,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,cosine_to_origin,182159,124736,,,,0.1467946518164753,0.95,0.13816220774659294,0.15337766482997917,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,angular_error_rad,182159,124736,,,,0.07636876956525347,0.95,0.06932493851234946,0.08360448187925933,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,reconstruction_mse,182159,124736,,,,0.07636841125765689,0.95,0.06932481761164926,0.08360500520034544,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,nose_attention,cosine_to_origin,182159,124736,,,,-0.07636876956525347,0.95,-0.08360448187925933,-0.06932493851234947,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,angular_error_rad,182159,124736,,,,0.21038601205061022,0.95,0.20403761438435705,0.2167452712133161,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,reconstruction_mse,182159,124736,,,,0.21038457298707353,0.95,0.20403683242598916,0.21674215901111457,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,cosine_to_origin,182159,124736,,,,-0.21038601205061022,0.95,-0.2167452712133161,-0.20403761438435705,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,angular_error_rad,180861,123641,,,,0.1092787778139038,0.95,0.10240711112748656,0.11599945930169063,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,reconstruction_mse,180861,123641,,,,0.10927845581307674,0.95,0.10240684763415513,0.11599932288734444,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,cosine_to_origin,180861,123641,,,,-0.1092787778139038,0.95,-0.11599945930169063,-0.10240711112748656,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,angular_error_rad,180793,123703,,,,0.0579505651372738,0.95,0.05094202694427805,0.06563903686322112,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,reconstruction_mse,180793,123703,,,,0.057950276150336454,0.95,0.05094199411648068,0.06563810648708078,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,cosine_to_origin,180793,123703,,,,-0.0579505651372738,0.95,-0.06563903686322112,-0.05094202694427806,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,angular_error_rad,182159,124736,,,,0.17299305863021988,0.95,0.16577609461205747,0.17968943220265235,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,reconstruction_mse,182159,124736,,,,0.17299142069382423,0.95,0.16577380115682797,0.17968807688056987,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,cosine_to_origin,182159,124736,,,,-0.17299305863021988,0.95,-0.17968943220265235,-0.16577609461205747,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,angular_error_rad,182159,124736,,,,0.25267980551860636,0.95,0.24397726641277773,0.2618479108189558,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,reconstruction_mse,182159,124736,,,,0.25267924136459335,0.95,0.24397674893876134,0.2618480613811321,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,cosine_to_origin,182159,124736,,,,-0.25267980551860636,0.95,-0.2618479108189558,-0.24397726641277773,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,angular_error_rad,182159,124736,,,,-0.25267980551860636,0.95,-0.2618479108189558,-0.24397726641277773,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,reconstruction_mse,182159,124736,,,,-0.25267924136459335,0.95,-0.2618480613811321,-0.24397674893876134,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
