analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_left,angular_error_rad,182148,124729,,,,0.021879715178685557,0.95,0.014540292851186817,0.02777416521505399,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_left,reconstruction_mse,182148,124729,,,,0.021881592783650487,0.95,0.01454383749401919,0.027776969575090047,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_left,cosine_to_origin,182148,124729,,,,-0.021879715178685557,0.95,-0.02777416521505356,-0.014540292851186817,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_right,angular_error_rad,182148,124729,,,,-0.04898607056778659,0.95,-0.05523332417175863,-0.042035283645656944,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_right,reconstruction_mse,182148,124729,,,,-0.04898248431453104,0.95,-0.055229511930315764,-0.04203096618784747,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_top_right,cosine_to_origin,182148,124729,,,,0.04898607056778659,0.95,0.042035283645656944,0.05523332417175863,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_left,angular_error_rad,182148,124729,,,,0.07035845514824692,0.95,0.0639508595145395,0.07674309909117794,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_left,reconstruction_mse,182148,124729,,,,0.07035783689180165,0.95,0.06394982606327379,0.0767415096221967,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_left,cosine_to_origin,182148,124729,,,,-0.07035845514824692,0.95,-0.07674309909117794,-0.0639508595145395,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_right,angular_error_rad,182148,124729,,,,0.020686271966244972,0.95,0.014340791943406182,0.026707147600082436,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_right,reconstruction_mse,182148,124729,,,,0.020681805753869905,0.95,0.014336330647270096,0.026702213930638145,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,quadrant_bottom_right,cosine_to_origin,182148,124729,,,,-0.020686271966244972,0.95,-0.026707147600082436,-0.014340791943406183,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_eye_attention,angular_error_rad,182148,124729,,,,0.022627572821851145,0.95,0.01686130582700068,0.029354570572115553,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_eye_attention,reconstruction_mse,182148,124729,,,,0.022625231482513854,0.95,0.016861010678607794,0.029355678055300774,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_eye_attention,cosine_to_origin,182148,124729,,,,-0.022627572821851145,0.95,-0.029354570572115553,-0.01686130582700068,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_eye_attention,angular_error_rad,182148,124729,,,,0.04503361608299213,0.95,0.0389219674441114,0.05167303395880282,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_eye_attention,reconstruction_mse,182148,124729,,,,0.0450317780912653,0.95,0.03891695644499221,0.05167117110051632,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_eye_attention,cosine_to_origin,182148,124729,,,,-0.04503361608299213,0.95,-0.05167303395880282,-0.0389219674441114,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,nose_attention,angular_error_rad,182148,124729,,,,0.08062579081426391,0.95,0.07374222483428625,0.08768282533808121,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,nose_attention,reconstruction_mse,182148,124729,,,,0.08062361794791126,0.95,0.07374327664853692,0.08767994444862524,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,nose_attention,cosine_to_origin,182148,124729,,,,-0.08062579081426391,0.95,-0.08768282533808122,-0.07374222483428625,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,mouth_attention,angular_error_rad,182148,124729,,,,0.21018395208419774,0.95,0.20306821123250574,0.21699492300335896,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,mouth_attention,reconstruction_mse,182148,124729,,,,0.2101806721416008,0.95,0.20306976495893994,0.21699346706413777,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,mouth_attention,cosine_to_origin,182148,124729,,,,-0.21018395208419774,0.95,-0.21699492300335896,-0.20306821123250574,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_cheek_attention,angular_error_rad,180850,123634,,,,0.11761593048484541,0.95,0.1117988905985973,0.12361881575639348,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_cheek_attention,reconstruction_mse,180850,123634,,,,0.11761520396333144,0.95,0.11180062780672884,0.12361902515890863,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,left_cheek_attention,cosine_to_origin,180850,123634,,,,-0.11761593048484541,0.95,-0.12361881575639348,-0.1117988905985973,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_cheek_attention,angular_error_rad,180782,123696,,,,0.10370452479025219,0.95,0.09703561378701132,0.1095476335969273,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_cheek_attention,reconstruction_mse,180782,123696,,,,0.10370167136936496,0.95,0.09703475807085957,0.10954442439738579,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,right_cheek_attention,cosine_to_origin,180782,123696,,,,-0.10370452479025219,0.95,-0.10954763359692773,-0.09703561378701132,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,jaw_attention,angular_error_rad,182148,124729,,,,0.23104134634596502,0.95,0.22453513149922125,0.23716960177910282,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,jaw_attention,reconstruction_mse,182148,124729,,,,0.23104102635355006,0.95,0.22453696789151997,0.23717211395023918,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,magface-6931178ad2025e1b3799,pca,pca_128,jaw_attention,cosine_to_origin,182148,124729,,,,-0.23104134634596502,0.95,-0.23716960177910282,-0.22453513149922125,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
