case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,target_fpir,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-9894525f94708500dc31,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:5229_10,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.1525428891181945,True,False,False,True,True,0.0004775448011471,True,high_error,1,8972,8
gradcam-af61bbb1114c2505aaaa,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:distractors_27043,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.2185337543487548,True,False,False,True,True,0.0004763323375036,True,high_error,2,8972,8
gradcam-75ca69fb11391b7f4a56,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:distractors_14384,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.1711692214012146,True,False,False,True,True,0.0004707050733212,True,high_error,3,8972,8
gradcam-0a1f4e850c58c5f2c27d,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:10545_cam3_41,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.1541073322296142,True,False,False,True,True,0.0004684068208071,True,high_error,4,8972,8
gradcam-c83111969cde429df4a7,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:10605_cam3_55,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.2331089675426483,True,False,False,True,True,0.0004616754784197,True,high_error,5,8972,8
gradcam-909b84b9bae275028181,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:10510_cam2_24,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.0718441009521484,True,False,False,True,True,0.0004579512261953,True,high_error,6,8972,8
gradcam-77ecbbcd680d1c8518cf,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:10196_cam2_66,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.1349470615386963,True,False,False,True,True,0.0004567416968408,True,high_error,7,8972,8
gradcam-896dab5040394be3689e,population-97c386fe4f7b71f14ceec875,survface,survface:registered_probe:9674_cam1_58,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,-0.2184404730796814,True,False,False,True,True,0.0004565335308737,True,high_error,8,8972,8
gradcam-71f1bf4538615a1a5f8c,population-97c386fe4f7b71f14ceec875,survface,survface:registered_probe:9829_cam1_46,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,-0.0916838645935058,False,False,False,True,True,0.0004829950329227,True,rank_flip,1,8972,8
gradcam-431b9de1a2bc629f8fc1,population-97c386fe4f7b71f14ceec875,survface,survface:unknown_unknown_probe:8720_cam3_10,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,-0.1366504728794098,False,False,False,True,True,0.0004823701298175,True,rank_flip,2,8972,8
