case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,target_fpir,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-39ec60e6cb91c7c48672,population-be3c0699e9b36cffc1ff86ee,survface,survface:registered_probe:2973_cam3_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.2879276871681213,True,False,False,True,True,0.7999492461391516,True,high_error,1,8972,8
gradcam-238db861008dca3b161a,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:distractors_12179,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.2388167083263397,True,False,False,True,True,0.7530619370228119,True,high_error,2,8972,8
gradcam-fbc9a9c8a4fc796dac02,population-be3c0699e9b36cffc1ff86ee,survface,survface:registered_probe:2742_cam2_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,True,frozen_origin,0.1565997302532196,True,False,False,True,True,0.7352844353912544,True,high_error,3,8972,8
gradcam-955d83cc905c870000e3,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:distractors_3188,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.2007167637348175,True,False,False,True,True,0.7348731728736059,True,high_error,4,8972,8
gradcam-7651d0e8ee7e6e502883,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:2863_cam3_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.2727938890457153,True,False,False,True,True,0.7234505675431233,True,high_error,5,8972,8
gradcam-99cda1a1eda041ef2cf8,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:distractors_3189,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.1765166521072387,True,False,False,True,True,0.7154580093585252,True,high_error,6,8972,8
gradcam-6bd01948f9d2d632da82,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:distractors_5348,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.201801985502243,True,False,False,True,True,0.6990435387503037,True,high_error,7,8972,8
gradcam-d634db799a9e1a8b4d01,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:9257_cam1_26,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.1617833375930786,True,False,False,True,True,0.6982353953082411,True,high_error,8,8972,8
gradcam-aee42f572c23168aac4a,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:distractors_2185,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.2199727594852447,False,False,False,True,True,0.7645593840056092,True,rank_flip,1,8972,8
gradcam-4ce37a60e13c74c4d35e,population-be3c0699e9b36cffc1ff86ee,survface,survface:unknown_unknown_probe:2197_cam2_1,arcface-7972a704552df378345f,pca,pca_128,pca_direct_cosine,0.01,False,frozen_origin,0.1192759275436401,False,False,False,True,True,0.7343178261437276,True,rank_flip,2,8972,8
